BatchFile test, number of cities :=52
ACS Algorithm  - AntType = 1 on Sqrt X - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
55.67 7759.188 0.1 0.1 2.2E-5 25 0 0.9 7542 18 7543 2 7547 51 1222.74140581204
56.476 7755.98 0.1 0.1 2.2E-5 25 0.05 0.9 7542 23 7543 7 7547 37 1194.97767027235
60.099 7752.65 0.1 0.1 2.2E-5 25 0.1 0.9 7542 20 7543 2 7547 32 1167.50122765029
59.542 7746.12 0.1 0.1 2.2E-5 25 0.15 0.9 7542 18 7547 51 7548 1 1148.24946896669
61.917 7749.989 0.1 0.1 2.2E-5 25 0.2 0.9 7542 20 7543 1 7547 55 1138.80872455766
64.848 7734.02 0.1 0.1 2.2E-5 25 0.25 0.9 7542 22 7543 2 7547 103 1127.54348792847
70.167 7727.969 0.1 0.1 2.2E-5 25 0.3 0.9 7542 25 7543 2 7547 101 1121.01255421506
69.574 7733.321 0.1 0.1 2.2E-5 25 0.35 0.9 7542 20 7543 3 7547 96 1116.93485561252
71.495 7742.06 0.1 0.1 2.2E-5 25 0.4 0.9 7542 16 7547 67 7548 19 1112.95742235453
70.711 7760.797 0.1 0.1 2.2E-5 25 0.45 0.9 7542 10 7543 1 7547 58 1113.63091533922
71.8 7789.31 0.1 0.1 2.2E-5 25 0.5 0.9 7542 7 7543 1 7547 19 1110.76400365312
70.361 7811.651 0.1 0.1 2.2E-5 25 0.55 0.9 7542 1 7547 14 7548 4 1108.67155447257
69.044 7842.599 0.1 0.1 2.2E-5 25 0.6 0.9 7542 2 7543 1 7547 13 1106.42543110258
66.782 7873.601 0.1 0.1 2.2E-5 25 0.65 0.9 7542 2 7543 1 7547 3 1107.7947892816
65.516 7901.544 0.1 0.1 2.2E-5 25 0.7 0.9 7547 2 7548 2 7553 3 1108.45754436954
63.752 7937.069 0.1 0.1 2.2E-5 25 0.75 0.9 7547 1 7548 2 7553 1 1109.70504692174
64.082 7960.473 0.1 0.1 2.2E-5 25 0.8 0.9 7576 1 7580 1 7582 1 1108.76825665178
63.618 7987.958 0.1 0.1 2.2E-5 25 0.85 0.9 7542 1 7581 1 7592 1 1108.55930024357
64.444 8013.203 0.1 0.1 2.2E-5 25 0.9 0.9 7548 1 7558 1 7570 1 1110.39155994445
63.885 8040.015 0.1 0.1 2.2E-5 25 0.95 0.9 7542 1 7548 1 7571 1 1108.88296199913
