BatchFile test, number of cities :=52
ACS Algorithm  - AntType = Boolean - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
55.67 7759.188 0.1 0.1 2.2E-5 25 0 0.9 7542 18 7543 2 7547 51 1222.74140581204
55.766 7761.349 0.1 0.1 2.2E-5 25 0.05 0.9 7542 29 7543 6 7547 33 1215.13239142096
58.588 7762.492 0.1 0.1 2.2E-5 25 0.1 0.9 7542 19 7547 40 7548 3 1210.47165534816
57.15 7759.402 0.1 0.1 2.2E-5 25 0.15 0.9 7542 17 7543 5 7547 27 1201.10917029028
58.399 7754.391 0.1 0.1 2.2E-5 25 0.2 0.9 7542 17 7543 5 7547 27 1185.66897892934
58.718 7737.495 0.1 0.1 2.2E-5 25 0.25 0.9 7542 8 7543 5 7547 34 1165.86732788171
60.679 7733.27 0.1 0.1 2.2E-5 25 0.3 0.9 7542 14 7543 1 7547 50 1150.38715804667
64.008 7730.611 0.1 0.1 2.2E-5 25 0.35 0.9 7542 23 7543 2 7547 67 1139.7542903785
68.164 7746.806 0.1 0.1 2.2E-5 25 0.4 0.9 7542 16 7547 59 7548 3 1146.63332647642
67.743 7754.611 0.1 0.1 2.2E-5 25 0.45 0.9 7542 8 7543 1 7547 61 1146.25640101415
70.888 7755.809 0.1 0.1 2.2E-5 25 0.5 0.9 7542 28 7543 3 7547 46 1136.84478111629
72.255 7762.832 0.1 0.1 2.2E-5 25 0.55 0.9 7542 17 7543 3 7547 23 1131.04520793349
70.969 7801.545 0.1 0.1 2.2E-5 25 0.6 0.9 7542 2 7543 1 7547 8 1129.5833180885
69.692 7913.282 0.1 0.1 2.2E-5 25 0.65 0.9 7542 1 7553 2 7554 1 1137.96642559877
62.201 8070.358 0.1 0.1 2.2E-5 25 0.7 0.9 7547 1 7553 1 7558 1 1149.23699355979
59.374 8205.719 0.1 0.1 2.2E-5 25 0.75 0.9 7758 1 7773 1 7795 1 1156.05238601914
58.139 8364.084 0.1 0.1 2.2E-5 25 0.8 0.9 7753 1 7870 1 7880 1 1160.84560398442
61.473 8538.358 0.1 0.1 2.2E-5 25 0.85 0.9 7964 1 7985 1 8037 1 1165.30775293497
61.405 8761.986 0.1 0.1 2.2E-5 25 0.9 0.9 8062 1 8074 1 8099 1 1169.35072280117
62.665 9156.43 0.1 0.1 2.2E-5 25 0.95 0.9 7940 1 8231 1 8234 1 1186.2093839607
