BatchFile test, number of cities :=52
ACS Algorithm  - AntType = Square - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
55.67 7759.188 0.1 0.1 2.2E-5 25 0 0.9 7542 18 7543 2 7547 51 1222.74140581204
55.918 7755.267 0.1 0.1 2.2E-5 25 0.05 0.9 7542 23 7543 3 7547 44 1219.97604444978
55.701 7759.416 0.1 0.1 2.2E-5 25 0.1 0.9 7542 20 7543 6 7547 39 1220.33574865186
54.264 7760.482 0.1 0.1 2.2E-5 25 0.15 0.9 7542 24 7543 1 7547 39 1212.68459705502
55.209 7751.304 0.1 0.1 2.2E-5 25 0.2 0.9 7542 28 7543 3 7547 42 1206.37467318961
53.351 7758.084 0.1 0.1 2.2E-5 25 0.25 0.9 7542 21 7543 1 7547 34 1204.94609039307
56.637 7751.374 0.1 0.1 2.2E-5 25 0.3 0.9 7542 25 7543 2 7547 37 1195.56452106748
57.169 7749.292 0.1 0.1 2.2E-5 25 0.35 0.9 7542 30 7543 3 7547 30 1192.16586138152
56.251 7751.905 0.1 0.1 2.2E-5 25 0.4 0.9 7542 22 7543 7 7547 33 1188.37004311704
57.498 7749.032 0.1 0.1 2.2E-5 25 0.45 0.9 7542 29 7543 4 7547 37 1180.58397606932
57.331 7744.572 0.1 0.1 2.2E-5 25 0.5 0.9 7542 33 7543 6 7547 37 1172.67560522884
57.048 7749.971 0.1 0.1 2.2E-5 25 0.55 0.9 7542 31 7543 7 7547 33 1167.14286628143
63.645 7743.019 0.1 0.1 2.2E-5 25 0.6 0.9 7542 49 7543 5 7547 27 1156.31777874065
62.592 7734.91 0.1 0.1 2.2E-5 25 0.65 0.9 7542 43 7543 10 7547 26 1150.54731462811
62.309 7743.686 0.1 0.1 2.2E-5 25 0.7 0.9 7542 41 7543 2 7547 28 1144.31207270198
63.615 7744.801 0.1 0.1 2.2E-5 25 0.75 0.9 7542 43 7543 7 7547 32 1131.35007876993
63.71 7742.958 0.1 0.1 2.2E-5 25 0.8 0.9 7542 30 7543 12 7547 45 1124.94087155069
64.368 7741.585 0.1 0.1 2.2E-5 25 0.85 0.9 7542 26 7543 10 7547 54 1116.03318965239
64.175 7748.653 0.1 0.1 2.2E-5 25 0.9 0.9 7542 31 7543 7 7547 49 1110.60932933956
62.898 7754.017 0.1 0.1 2.2E-5 25 0.95 0.9 7542 24 7543 6 7547 57 1102.9779892466
