BatchFile test, number of cities :=52
ACS Algorithm  - AntType = Tanh - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
55.67 7759.188 0.1 0.1 2.2E-5 25 0 0.9 7542 18 7543 2 7547 51 1222.74140581204
58.202 7750.842 0.1 0.1 2.2E-5 25 0.05 0.9 7542 28 7543 3 7547 37 1217.4324941694
54.106 7759.621 0.1 0.1 2.2E-5 25 0.1 0.9 7542 28 7543 6 7547 38 1211.53221643444
56.552 7760.331 0.1 0.1 2.2E-5 25 0.15 0.9 7542 26 7543 2 7547 34 1202.76289221372
58.573 7755.822 0.1 0.1 2.2E-5 25 0.2 0.9 7542 17 7543 6 7547 32 1191.53764976121
59.44 7753.297 0.1 0.1 2.2E-5 25 0.25 0.9 7542 21 7543 1 7547 37 1176.88118234563
61.741 7739.102 0.1 0.1 2.2E-5 25 0.3 0.9 7542 18 7547 55 7548 3 1158.79760488973
61.331 7743.389 0.1 0.1 2.2E-5 25 0.35 0.9 7542 15 7547 53 7566 3 1153.78034603853
62.17 7747.637 0.1 0.1 2.2E-5 25 0.4 0.9 7542 18 7543 1 7547 57 1149.30741839562
63.472 7750.677 0.1 0.1 2.2E-5 25 0.45 0.9 7542 19 7547 64 7548 7 1145.28990130302
68.082 7750.94 0.1 0.1 2.2E-5 25 0.5 0.9 7542 21 7547 66 7548 10 1136.70535208736
69.706 7747.516 0.1 0.1 2.2E-5 25 0.55 0.9 7542 16 7543 8 7547 56 1133.29556561151
69.274 7763.148 0.1 0.1 2.2E-5 25 0.6 0.9 7542 14 7543 5 7547 36 1128.48951139374
71.506 7795.579 0.1 0.1 2.2E-5 25 0.65 0.9 7542 5 7543 4 7547 21 1119.73700715876
68.113 7865.594 0.1 0.1 2.2E-5 25 0.7 0.9 7542 1 7543 1 7547 3 1114.38022171114
66.072 7942.429 0.1 0.1 2.2E-5 25 0.75 0.9 7547 1 7548 2 7570 2 1107.69450826962
64.1 8026.248 0.1 0.1 2.2E-5 25 0.8 0.9 7558 1 7570 1 7587 1 1100.3511331357
62.302 8115.952 0.1 0.1 2.2E-5 25 0.85 0.9 7571 1 7637 1 7642 1 1094.84215799744
61.599 8210.691 0.1 0.1 2.2E-5 25 0.9 0.9 7758 1 7772 1 7777 2 1090.13047536761
62.203 8336.59 0.1 0.1 2.2E-5 25 0.95 0.9 7733 1 7748 1 7798 1 1085.26652141229
