BatchFile test, number of cities :=52
ACS Algorithm  - AntType = 1 on X - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
55.67 7759.188 0.1 0.1 2.2E-5 25 0 0.9 7542 18 7543 2 7547 51 1222.74140581204
64.425 7750.165 0.1 0.1 2.2E-5 25 0.05 0.9 7542 23 7543 1 7547 55 1149.47525037424
64.935 7775.605 0.1 0.1 2.2E-5 25 0.1 0.9 7542 6 7543 2 7547 64 1117.16128110879
66.751 7809.866 0.1 0.1 2.2E-5 25 0.15 0.9 7542 1 7543 1 7547 32 1106.86168838961
68.184 7857.851 0.1 0.1 2.2E-5 25 0.2 0.9 7542 2 7547 24 7548 6 1101.34309117728
68.679 7894.585 0.1 0.1 2.2E-5 25 0.25 0.9 7547 12 7548 4 7553 3 1096.05177338031
67.231 7931.85 0.1 0.1 2.2E-5 25 0.3 0.9 7548 1 7553 1 7566 1 1093.37735897887
68.968 7971.754 0.1 0.1 2.2E-5 25 0.35 0.9 7548 3 7571 1 7620 1 1095.77566081874
68.771 7992.44 0.1 0.1 2.2E-5 25 0.4 0.9 7547 2 7548 1 7553 1 1097.42085636764
67.077 8025.774 0.1 0.1 2.2E-5 25 0.45 0.9 7558 2 7571 1 7626 1 1103.46063192332
68.886 8064.21 0.1 0.1 2.2E-5 25 0.5 0.9 7547 1 7553 1 7571 2 1108.58377358695
67.993 8101.975 0.1 0.1 2.2E-5 25 0.55 0.9 7596 1 7654 1 7673 1 1115.49138673813
68.982 8126.348 0.1 0.1 2.2E-5 25 0.6 0.9 7575 1 7599 1 7623 1 1120.24129033607
68.903 8158.226 0.1 0.1 2.2E-5 25 0.65 0.9 7616 1 7664 1 7669 1 1124.05934871594
69.161 8185.583 0.1 0.1 2.2E-5 25 0.7 0.9 7603 1 7634 1 7637 1 1130.02730324231
73.429 8208.863 0.1 0.1 2.2E-5 25 0.75 0.9 7548 1 7671 1 7690 1 1134.15125486694
71.721 8250.649 0.1 0.1 2.2E-5 25 0.8 0.9 7680 1 7697 1 7720 1 1140.52626281432
68.385 8281.217 0.1 0.1 2.2E-5 25 0.85 0.9 7651 1 7737 1 7745 1 1145.42484074449
68.877 8322.604 0.1 0.1 2.2E-5 25 0.9 0.9 7669 1 7684 1 7734 1 1152.09925500423
68.803 8359.153 0.1 0.1 2.2E-5 25 0.95 0.9 7652 1 7679 1 7728 1 1155.91191496446
