BatchFile test, number of cities :=52
ACS Algorithm  - AntType = 1 on Sqrt X - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
55.67 7759.188 0.1 0.1 2.2E-5 25 0 0.9 7542 18 7543 2 7547 51 1222.74140581204
58.556 7769.587 0.1 0.1 2.2E-5 25 0.05 0.9 7542 14 7543 3 7547 41 1217.82298972444
60.486 7771.129 0.1 0.1 2.2E-5 25 0.1 0.9 7542 23 7543 1 7547 33 1203.20472304836
61.343 7751.1 0.1 0.1 2.2E-5 25 0.15 0.9 7542 16 7543 2 7547 50 1189.28460393265
63.624 7741.947 0.1 0.1 2.2E-5 25 0.2 0.9 7542 15 7543 1 7547 56 1178.13757724867
63.941 7738.562 0.1 0.1 2.2E-5 25 0.25 0.9 7542 21 7543 1 7547 67 1166.72759001573
65.716 7740.02 0.1 0.1 2.2E-5 25 0.3 0.9 7542 17 7543 1 7547 89 1159.83538974667
67.594 7753.508 0.1 0.1 2.2E-5 25 0.35 0.9 7542 7 7543 1 7547 58 1157.55510145137
69.87 7765.835 0.1 0.1 2.2E-5 25 0.4 0.9 7542 3 7547 57 7548 7 1159.18905657841
70.257 7793.217 0.1 0.1 2.2E-5 25 0.45 0.9 7542 2 7547 37 7548 5 1162.58140293006
71.621 7809.312 0.1 0.1 2.2E-5 25 0.5 0.9 7542 1 7547 29 7548 2 1161.32363160318
71.499 7844.581 0.1 0.1 2.2E-5 25 0.55 0.9 7547 13 7548 3 7553 2 1165.95828372324
69.291 7868.253 0.1 0.1 2.2E-5 25 0.6 0.9 7543 1 7547 7 7554 2 1165.47808234139
68.51 7889.942 0.1 0.1 2.2E-5 25 0.65 0.9 7547 6 7548 1 7553 3 1166.84168217813
64.618 7932.497 0.1 0.1 2.2E-5 25 0.7 0.9 7547 5 7548 1 7553 2 1166.50495644759
66.598 7941.713 0.1 0.1 2.2E-5 25 0.75 0.9 7547 2 7553 1 7571 2 1166.67116838532
69.837 7962.695 0.1 0.1 2.2E-5 25 0.8 0.9 7548 1 7553 1 7596 1 1168.03808425028
65.705 7991.716 0.1 0.1 2.2E-5 25 0.85 0.9 7548 1 7553 1 7597 1 1168.32988370313
66.713 8007.634 0.1 0.1 2.2E-5 25 0.9 0.9 7547 1 7558 1 7569 1 1168.12497356352
67.632 8024.601 0.1 0.1 2.2E-5 25 0.95 0.9 7571 1 7575 1 7614 1 1168.84432083532
