BatchFile test, number of cities :=52
ACS Algorithm  - AntType = Boolean - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
55.67 7759.188 0.1 0.1 2.2E-5 25 0 0.9 7542 18 7543 2 7547 51 1222.74140581204
56.814 7764.131 0.1 0.1 2.2E-5 25 0.05 0.9 7542 24 7543 4 7547 43 1228.05456147899
58.82 7763.507 0.1 0.1 2.2E-5 25 0.1 0.9 7542 30 7543 4 7547 37 1228.76818415554
56.946 7767.844 0.1 0.1 2.2E-5 25 0.15 0.9 7542 20 7543 1 7547 29 1231.847594838
58.437 7758.387 0.1 0.1 2.2E-5 25 0.2 0.9 7542 16 7543 3 7547 25 1222.74166697597
62.108 7751.229 0.1 0.1 2.2E-5 25 0.25 0.9 7542 12 7543 1 7547 34 1211.8981143457
62.232 7742.367 0.1 0.1 2.2E-5 25 0.3 0.9 7542 14 7547 40 7558 1 1211.72233241816
63.596 7740.89 0.1 0.1 2.2E-5 25 0.35 0.9 7542 10 7547 51 7566 1 1206.33617496225
62.53 7746.811 0.1 0.1 2.2E-5 25 0.4 0.9 7542 15 7547 51 7566 2 1208.07148460719
66.475 7752.176 0.1 0.1 2.2E-5 25 0.45 0.9 7542 7 7543 1 7547 63 1219.88763536081
69.679 7757.703 0.1 0.1 2.2E-5 25 0.5 0.9 7542 3 7543 1 7547 55 1217.83696648892
71.293 7775.589 0.1 0.1 2.2E-5 25 0.55 0.9 7542 7 7543 1 7547 23 1219.87749970415
74.16 7823.044 0.1 0.1 2.2E-5 25 0.6 0.9 7542 3 7543 2 7547 9 1217.01897558326
71.554 7917.208 0.1 0.1 2.2E-5 25 0.65 0.9 7554 2 7569 1 7572 1 1226.08217531424
66.03 8057.226 0.1 0.1 2.2E-5 25 0.7 0.9 7627 1 7642 1 7683 1 1239.95683235445
63.79 8189.211 0.1 0.1 2.2E-5 25 0.75 0.9 7617 1 7674 1 7679 1 1242.36194066939
66.873 8314.21 0.1 0.1 2.2E-5 25 0.8 0.9 7704 1 7729 1 7832 1 1242.81311539531
68.18 8556.386 0.1 0.1 2.2E-5 25 0.85 0.9 7755 1 7936 1 7938 1 1264.00394966805
71.563 8931.447 0.1 0.1 2.2E-5 25 0.9 0.9 8108 1 8115 1 8130 1 1294.16560284804
67.868 9579.351 0.1 0.1 2.2E-5 25 0.95 0.9 8387 1 8479 1 8526 1 1340.67752786727
