BatchFile test, number of cities :=52
ACS Algorithm  - AntType = Linear - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
55.67 7759.188 0.1 0.1 2.2E-5 25 0 0.9 7542 18 7543 2 7547 51 1222.74140581204
54.982 7765.153 0.1 0.1 2.2E-5 25 0.05 0.9 7542 17 7543 4 7547 35 1224.0494870853
56.296 7760.823 0.1 0.1 2.2E-5 25 0.1 0.9 7542 21 7543 9 7547 33 1223.28208659877
56.56 7762.369 0.1 0.1 2.2E-5 25 0.15 0.9 7542 22 7543 2 7547 34 1226.03636134876
58.094 7760.867 0.1 0.1 2.2E-5 25 0.2 0.9 7542 22 7543 2 7547 34 1222.93406450733
59.014 7761.328 0.1 0.1 2.2E-5 25 0.25 0.9 7542 18 7543 2 7547 27 1222.23104009121
60.087 7759.769 0.1 0.1 2.2E-5 25 0.3 0.9 7542 21 7543 1 7547 30 1216.73191451314
61.707 7748.612 0.1 0.1 2.2E-5 25 0.35 0.9 7542 16 7543 1 7547 43 1206.38468935533
60.372 7748.671 0.1 0.1 2.2E-5 25 0.4 0.9 7542 22 7543 2 7547 43 1205.92835911666
61.385 7745.939 0.1 0.1 2.2E-5 25 0.45 0.9 7542 16 7543 4 7547 41 1203.6719631739
62.964 7747.767 0.1 0.1 2.2E-5 25 0.5 0.9 7542 18 7543 1 7547 50 1199.12074901607
64.779 7746.696 0.1 0.1 2.2E-5 25 0.55 0.9 7542 36 7543 3 7547 38 1194.38267702297
65.769 7746.87 0.1 0.1 2.2E-5 25 0.6 0.9 7542 34 7543 6 7547 40 1185.88485347031
66.32 7747.992 0.1 0.1 2.2E-5 25 0.65 0.9 7542 29 7543 2 7547 43 1182.75309853211
67.117 7753.926 0.1 0.1 2.2E-5 25 0.7 0.9 7542 12 7543 1 7547 43 1177.17251823323
67.464 7755.298 0.1 0.1 2.2E-5 25 0.75 0.9 7542 8 7543 2 7547 59 1170.30783678419
68.244 7761.103 0.1 0.1 2.2E-5 25 0.8 0.9 7542 17 7543 1 7547 62 1161.48960583211
65.831 7783.095 0.1 0.1 2.2E-5 25 0.85 0.9 7542 9 7543 3 7547 41 1154.8323355877
67.013 7806.449 0.1 0.1 2.2E-5 25 0.9 0.9 7542 6 7543 1 7547 38 1148.05420602259
64.106 7831.404 0.1 0.1 2.2E-5 25 0.95 0.9 7542 2 7543 4 7547 25 1137.81079121484
