BatchFile test, number of cities :=52
ACS Algorithm  - AntType = Sqrt - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
55.67 7759.188 0.1 0.1 2.2E-5 25 0 0.9 7542 18 7543 2 7547 51 1222.74140581204
55.773 7759.901 0.1 0.1 2.2E-5 25 0.05 0.9 7542 21 7543 2 7547 56 1226.34438891602
55.774 7767.943 0.1 0.1 2.2E-5 25 0.1 0.9 7542 24 7543 1 7547 32 1231.25272045181
55.313 7767.521 0.1 0.1 2.2E-5 25 0.15 0.9 7542 32 7543 4 7547 28 1229.22628699513
58.627 7769.648 0.1 0.1 2.2E-5 25 0.2 0.9 7542 16 7543 6 7547 20 1226.5478369525
61.57 7757.012 0.1 0.1 2.2E-5 25 0.25 0.9 7542 21 7543 3 7547 34 1219.52074694614
63.282 7753.229 0.1 0.1 2.2E-5 25 0.3 0.9 7542 16 7543 1 7547 35 1211.42715578453
62.994 7746.229 0.1 0.1 2.2E-5 25 0.35 0.9 7542 15 7543 1 7547 29 1207.24310634523
60.592 7753.657 0.1 0.1 2.2E-5 25 0.4 0.9 7542 11 7543 1 7547 39 1205.13727862105
60.906 7752.476 0.1 0.1 2.2E-5 25 0.45 0.9 7542 15 7543 1 7547 35 1204.37756791803
63.813 7746.103 0.1 0.1 2.2E-5 25 0.5 0.9 7542 20 7547 40 7548 2 1203.60916810367
67.086 7746.849 0.1 0.1 2.2E-5 25 0.55 0.9 7542 22 7543 1 7547 41 1197.2970796229
68.244 7752.559 0.1 0.1 2.2E-5 25 0.6 0.9 7542 18 7543 1 7547 48 1192.7893464503
67.47 7754.401 0.1 0.1 2.2E-5 25 0.65 0.9 7542 12 7543 3 7547 55 1190.44306407554
71.632 7766.431 0.1 0.1 2.2E-5 25 0.7 0.9 7542 7 7543 1 7547 41 1184.2399439771
68.131 7785.526 0.1 0.1 2.2E-5 25 0.75 0.9 7542 4 7543 2 7547 29 1178.0616591585
67.78 7825.409 0.1 0.1 2.2E-5 25 0.8 0.9 7542 4 7547 19 7548 1 1168.74038412288
63.162 7878.46 0.1 0.1 2.2E-5 25 0.85 0.9 7542 2 7543 1 7547 5 1157.8155152876
64.251 7918.693 0.1 0.1 2.2E-5 25 0.9 0.9 7547 1 7548 1 7553 1 1147.31717498881
61.272 7967.714 0.1 0.1 2.2E-5 25 0.95 0.9 7542 1 7547 1 7553 2 1137.71070183593
