BatchFile test, number of cities :=52
ACS Algorithm  - AntType = Tanh - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
55.67 7759.188 0.1 0.1 2.2E-5 25 0 0.9 7542 18 7543 2 7547 51 1222.74140581204
56.96 7763.098 0.1 0.1 2.2E-5 25 0.05 0.9 7542 24 7543 3 7547 33 1226.18740441731
58.408 7765.144 0.1 0.1 2.2E-5 25 0.1 0.9 7542 32 7543 7 7547 27 1231.19977589903
57.441 7771.77 0.1 0.1 2.2E-5 25 0.15 0.9 7542 20 7543 3 7547 21 1227.19228282924
61.629 7765.169 0.1 0.1 2.2E-5 25 0.2 0.9 7542 22 7543 6 7547 22 1224.11174822176
58.938 7762.262 0.1 0.1 2.2E-5 25 0.25 0.9 7542 16 7543 1 7547 31 1211.12814315972
61.571 7750.582 0.1 0.1 2.2E-5 25 0.3 0.9 7542 26 7547 37 7566 2 1203.39055225464
60.317 7752.674 0.1 0.1 2.2E-5 25 0.35 0.9 7542 15 7547 34 7566 2 1201.76399092136
60.926 7752.628 0.1 0.1 2.2E-5 25 0.4 0.9 7542 13 7547 55 7553 1 1196.90103737067
65.714 7740.394 0.1 0.1 2.2E-5 25 0.45 0.9 7542 11 7543 1 7547 72 1193.31426701696
67.689 7739.334 0.1 0.1 2.2E-5 25 0.5 0.9 7542 16 7547 71 7548 2 1189.83535051593
71.092 7739.517 0.1 0.1 2.2E-5 25 0.55 0.9 7542 12 7547 76 7548 11 1185.91094013049
75.486 7757.825 0.1 0.1 2.2E-5 25 0.6 0.9 7542 1 7543 3 7547 41 1182.45873186394
69.809 7830.158 0.1 0.1 2.2E-5 25 0.65 0.9 7542 2 7543 1 7547 8 1179.96983538423
66.185 7904.701 0.1 0.1 2.2E-5 25 0.7 0.9 7542 1 7547 5 7548 3 1175.46768883073
66.489 7980.75 0.1 0.1 2.2E-5 25 0.75 0.9 7553 1 7626 1 7638 1 1169.70946860245
63.355 8060.367 0.1 0.1 2.2E-5 25 0.8 0.9 7548 1 7594 1 7662 1 1156.9761556249
66.641 8134.871 0.1 0.1 2.2E-5 25 0.85 0.9 7686 1 7711 1 7716 1 1143.69324855687
68.128 8234.809 0.1 0.1 2.2E-5 25 0.9 0.9 7643 1 7680 1 7706 1 1143.22350337022
67.89 8398.741 0.1 0.1 2.2E-5 25 0.95 0.9 7729 1 7739 1 7769 1 1135.40128325604
