BatchFile test, number of cities :=52
AMTS Algorithm - format:
avgGen avgdist DP AP IP NA AF MA Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = 1 on X
AntDir = Bidirectional
90.957 7737.221 0.1 0.5 0.1 25 0 6 7543 10 7547 8 7548 24 796.327837729011
95.047 7731.461 0.1 0.5 0.1 25 0.05 6 7543 12 7547 7 7548 32 782.489405017719
100.098 7729.175 0.1 0.5 0.1 25 0.1 6 7543 9 7547 3 7548 34 773.265282970445
102.405 7731.457 0.1 0.5 0.1 25 0.15 6 7542 1 7543 2 7547 7 764.292590313181
106.932 7729.534 0.1 0.5 0.1 25 0.2 6 7542 1 7543 13 7547 2 758.102444338562
109.5 7729.584 0.1 0.5 0.1 25 0.25 6 7542 3 7543 15 7547 5 753.005455201795
113.197 7733.942 0.1 0.5 0.1 25 0.3 6 7542 1 7543 6 7547 2 747.808387522836
112.925 7741.191 0.1 0.5 0.1 25 0.35 6 7542 1 7543 9 7547 4 744.164921950907
116.567 7738.331 0.1 0.5 0.1 25 0.4 6 7542 1 7543 9 7547 5 740.225825958745
118.268 7747.351 0.1 0.5 0.1 25 0.45 6 7543 5 7547 2 7548 28 736.704988558218
118.907 7748.725 0.1 0.5 0.1 25 0.5 6 7542 2 7543 3 7547 8 733.803150655708
120.691 7755.64 0.1 0.5 0.1 25 0.55 6 7542 2 7543 4 7547 5 731.71346183817
121.044 7757.904 0.1 0.5 0.1 25 0.6 6 7543 7 7547 6 7548 17 729.615184960333
123.269 7762.194 0.1 0.5 0.1 25 0.65 6 7543 3 7547 1 7548 19 727.039297068413
123.133 7771.691 0.1 0.5 0.1 25 0.7 6 7542 1 7543 4 7547 2 725.758693995783
126.388 7777.215 0.1 0.5 0.1 25 0.75 6 7543 3 7547 2 7548 7 724.570968760765
124.185 7781.864 0.1 0.5 0.1 25 0.8 6 7542 1 7543 2 7548 9 722.990816913162
126.086 7788.992 0.1 0.5 0.1 25 0.85 6 7543 3 7548 5 7566 2 721.531373693094
126.707 7795.634 0.1 0.5 0.1 25 0.9 6 7542 1 7543 3 7547 2 721.051051809574
129.55 7800.465 0.1 0.5 0.1 25 0.95 6 7543 3 7547 1 7548 7 719.91999297957


