BatchFile test, number of cities :=52
AMTS Algorithm  - AntType = Boolean - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF MA Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
90.957 7737.221 0.1 0.5 0.1 25 0 6 7543 10 7547 8 7548 24 796.327837729011
90.843 7733.947 0.1 0.5 0.1 25 0.05 6 7543 4 7547 8 7548 35 793.671852924065
91.734 7734.66 0.1 0.5 0.1 25 0.1 6 7542 2 7543 5 7547 10 793.171858230625
92.529 7733.277 0.1 0.5 0.1 25 0.15 6 7542 5 7543 12 7547 7 790.372216407782
94.808 7731.625 0.1 0.5 0.1 25 0.2 6 7543 6 7547 4 7548 42 786.72075519034
96.149 7735.254 0.1 0.5 0.1 25 0.25 6 7543 8 7547 6 7548 36 784.16764931937
95.752 7731.057 0.1 0.5 0.1 25 0.3 6 7542 2 7543 9 7547 9 781.638905251254
97.409 7726.545 0.1 0.5 0.1 25 0.35 6 7542 2 7543 10 7547 5 779.262596306201
99.681 7729.498 0.1 0.5 0.1 25 0.4 6 7542 2 7543 4 7547 3 776.190839240593
101.956 7723.622 0.1 0.5 0.1 25 0.45 6 7542 1 7543 15 7547 7 772.426944624705
102.92 7717.758 0.1 0.5 0.1 25 0.5 6 7542 1 7543 10 7547 10 768.263565728984
106.68 7717.565 0.1 0.5 0.1 25 0.55 6 7543 15 7547 8 7548 34 763.246078928004
109.708 7712.301 0.1 0.5 0.1 25 0.6 6 7542 2 7543 12 7547 9 759.256715704501
113.056 7715.84 0.1 0.5 0.1 25 0.65 6 7542 1 7543 8 7547 6 753.386105520741
119.844 7711.155 0.1 0.5 0.1 25 0.7 6 7542 6 7543 4 7547 3 747.169365519795
121.839 7719.928 0.1 0.5 0.1 25 0.75 6 7542 3 7543 7 7547 6 739.894900025868
128.93 7732.903 0.1 0.5 0.1 25 0.8 6 7542 1 7543 5 7547 7 732.949835722131
135.121 7760.862 0.1 0.5 0.1 25 0.85 6 7543 2 7547 4 7548 14 725.666820506991
141.399 7845.528 0.1 0.5 0.1 25 0.9 6 7543 1 7547 1 7548 7 722.700785533818
138.372 8269.592 0.1 0.5 0.1 25 0.95 6 7619 1 7766 1 7769 1 727.495964267092
