BatchFile test, number of cities :=52
AMTS Algorithm  - AntType = Square - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF MA Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
90.957 7737.221 0.1 0.5 0.1 25 0 6 7543 10 7547 8 7548 24 796.327837729011
90.774 7742.756 0.1 0.5 0.1 25 0.05 6 7542 2 7543 5 7547 6 795.002234506268
90.891 7733.158 0.1 0.5 0.1 25 0.1 6 7543 6 7547 12 7548 32 795.328524714865
91.361 7732.178 0.1 0.5 0.1 25 0.15 6 7542 1 7543 10 7547 6 794.884583148584
91.691 7732.895 0.1 0.5 0.1 25 0.2 6 7542 1 7543 6 7547 6 794.407918907368
91.98 7735.801 0.1 0.5 0.1 25 0.25 6 7542 2 7543 3 7547 6 792.728444818529
91.63 7734.865 0.1 0.5 0.1 25 0.3 6 7542 1 7543 7 7547 11 791.283770246296
91.628 7736.148 0.1 0.5 0.1 25 0.35 6 7542 2 7543 5 7547 7 791.564424711968
92.578 7735.842 0.1 0.5 0.1 25 0.4 6 7542 2 7543 4 7547 7 790.210721347267
93.895 7730.929 0.1 0.5 0.1 25 0.45 6 7542 3 7543 9 7547 6 790.731014855603
93.15 7733.914 0.1 0.5 0.1 25 0.5 6 7542 2 7543 11 7547 7 790.133830407376
93.992 7732.179 0.1 0.5 0.1 25 0.55 6 7542 1 7543 6 7547 5 787.932985273242
94.822 7732.435 0.1 0.5 0.1 25 0.6 6 7542 4 7543 8 7547 9 786.518898303638
94.035 7733.945 0.1 0.5 0.1 25 0.65 6 7542 1 7543 10 7547 8 785.226955291724
95.204 7730.068 0.1 0.5 0.1 25 0.7 6 7542 5 7543 14 7547 9 783.75402412909
95.419 7730.84 0.1 0.5 0.1 25 0.75 6 7542 2 7543 8 7547 5 782.940747063017
97.398 7728.726 0.1 0.5 0.1 25 0.8 6 7542 3 7543 4 7547 7 781.826244706507
97.329 7732.142 0.1 0.5 0.1 25 0.85 6 7543 9 7547 2 7548 34 779.913943450373
97.606 7730.07 0.1 0.5 0.1 25 0.9 6 7542 2 7543 14 7547 1 777.211765499521
100.01 7722.913 0.1 0.5 0.1 25 0.95 6 7542 1 7543 13 7547 1 774.239011819102
