BatchFile test, number of cities :=52
AMTS Algorithm  - AntType = Tanh - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF MA Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
90.957 7737.221 0.1 0.5 0.1 25 0 6 7543 10 7547 8 7548 24 796.327837729011
91.855 7738.862 0.1 0.5 0.1 25 0.05 6 7542 3 7543 4 7547 14 794.610220827219
91.589 7733.607 0.1 0.5 0.1 25 0.1 6 7542 2 7543 11 7547 7 793.132723471273
91.386 7738.734 0.1 0.5 0.1 25 0.15 6 7543 4 7547 7 7548 38 790.514486064363
94.368 7731.502 0.1 0.5 0.1 25 0.2 6 7543 11 7547 8 7548 44 788.410308743564
93.766 7735.375 0.1 0.5 0.1 25 0.25 6 7542 3 7543 7 7547 8 786.089715451797
95.429 7731.03 0.1 0.5 0.1 25 0.3 6 7543 7 7547 6 7548 36 784.195063657476
95.826 7729.037 0.1 0.5 0.1 25 0.35 6 7542 2 7543 8 7547 4 783.252547272462
97.763 7728.149 0.1 0.5 0.1 25 0.4 6 7542 1 7543 6 7547 9 779.565593924186
98.47 7728.487 0.1 0.5 0.1 25 0.45 6 7542 3 7543 7 7547 10 775.305708747091
99.453 7728.252 0.1 0.5 0.1 25 0.5 6 7542 2 7543 11 7547 7 772.314120631546
103.066 7727.585 0.1 0.5 0.1 25 0.55 6 7543 8 7547 7 7548 35 769.679501595262
103.667 7727.059 0.1 0.5 0.1 25 0.6 6 7543 8 7547 3 7548 28 765.700653983726
107.441 7725.098 0.1 0.5 0.1 25 0.65 6 7542 3 7543 6 7547 3 760.40603314514
109.239 7728.243 0.1 0.5 0.1 25 0.7 6 7542 2 7543 13 7547 4 755.129432972066
111.669 7728.948 0.1 0.5 0.1 25 0.75 6 7542 1 7543 9 7547 7 749.151914559472
117.083 7731.099 0.1 0.5 0.1 25 0.8 6 7543 8 7548 28 7567 1 743.050678119516
119.832 7743.094 0.1 0.5 0.1 25 0.85 6 7543 4 7547 3 7548 27 734.551734948696
124.892 7770.157 0.1 0.5 0.1 25 0.9 6 7543 4 7547 2 7548 13 725.460505341925
129.378 7838.192 0.1 0.5 0.1 25 0.95 6 7543 2 7548 1 7570 1 717.249133706744
