BatchFile test, number of cities :=52
AMTS Algorithm  - AntType = Linear - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF MA Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
90.957 7737.221 0.1 0.5 0.1 25 0 6 7543 10 7547 8 7548 24 796.327837729011
90.364 7734.651 0.1 0.5 0.1 25 0.05 6 7542 1 7543 6 7547 6 795.233119880899
92.427 7737 0.1 0.5 0.1 25 0.1 6 7542 3 7543 4 7547 10 795.329888606104
91.37 7738.597 0.1 0.5 0.1 25 0.15 6 7542 3 7543 6 7547 9 793.243681582706
93.109 7733.453 0.1 0.5 0.1 25 0.2 6 7543 3 7547 9 7548 28 792.511661457796
92.341 7729.657 0.1 0.5 0.1 25 0.25 6 7542 2 7543 9 7547 8 792.136371558801
93.531 7730.853 0.1 0.5 0.1 25 0.3 6 7542 4 7543 2 7547 9 788.280252541784
94.146 7728.464 0.1 0.5 0.1 25 0.35 6 7542 2 7543 14 7547 5 789.678417438707
95.383 7729.227 0.1 0.5 0.1 25 0.4 6 7542 4 7543 7 7547 9 786.595832852287
95.816 7728.201 0.1 0.5 0.1 25 0.45 6 7542 1 7543 9 7547 3 785.593459161365
97.977 7725.294 0.1 0.5 0.1 25 0.5 6 7542 2 7543 8 7547 1 781.999179949496
99.09 7727.706 0.1 0.5 0.1 25 0.55 6 7543 9 7547 6 7548 32 781.81233955606
99.612 7723.303 0.1 0.5 0.1 25 0.6 6 7542 2 7543 12 7547 5 779.004710192704
100.999 7716.58 0.1 0.5 0.1 25 0.65 6 7542 1 7543 13 7547 8 777.807335520319
100.389 7716.439 0.1 0.5 0.1 25 0.7 6 7542 1 7543 14 7547 10 775.21066600651
102.727 7719.904 0.1 0.5 0.1 25 0.75 6 7543 10 7547 5 7548 38 773.184536945932
105.574 7715.65 0.1 0.5 0.1 25 0.8 6 7542 3 7543 13 7547 6 770.441091535186
108.433 7716.352 0.1 0.5 0.1 25 0.85 6 7542 4 7543 11 7547 5 767.770782982052
110.28 7713.786 0.1 0.5 0.1 25 0.9 6 7542 2 7543 12 7547 2 765.643027550167
113.031 7709.204 0.1 0.5 0.1 25 0.95 6 7542 2 7543 14 7547 5 761.306487263337
