BatchFile test, number of cities :=52
AMTS Algorithm  - AntType = Square - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF MA Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
90.957 7737.221 0.1 0.5 0.1 25 0 6 7543 10 7547 8 7548 24 796.327837729011
90.289 7738.059 0.1 0.5 0.1 25 0.05 6 7542 2 7543 10 7547 5 795.598246738871
90.801 7734.538 0.1 0.5 0.1 25 0.1 6 7542 2 7543 6 7547 9 793.6273466529
90.494 7736.831 0.1 0.5 0.1 25 0.15 6 7542 3 7543 5 7547 3 793.690133113763
93.431 7728.219 0.1 0.5 0.1 25 0.2 6 7542 3 7543 5 7547 6 794.009562445305
93.55 7735.049 0.1 0.5 0.1 25 0.25 6 7542 1 7543 12 7547 4 791.659822080475
93.974 7730.531 0.1 0.5 0.1 25 0.3 6 7542 4 7543 10 7547 11 790.843958018901
93.542 7734.639 0.1 0.5 0.1 25 0.35 6 7542 1 7543 9 7547 6 791.277526413385
94.179 7726.168 0.1 0.5 0.1 25 0.4 6 7543 7 7547 5 7548 35 790.918729005746
94.036 7734.695 0.1 0.5 0.1 25 0.45 6 7543 8 7547 10 7548 23 790.139026633771
94.603 7728.741 0.1 0.5 0.1 25 0.5 6 7542 2 7543 9 7547 8 786.611070972104
95.45 7729.72 0.1 0.5 0.1 25 0.55 6 7542 2 7543 6 7547 4 786.175203833704
95.507 7725.732 0.1 0.5 0.1 25 0.6 6 7542 3 7543 6 7547 6 786.097046586506
97.167 7724.029 0.1 0.5 0.1 25 0.65 6 7542 2 7543 10 7547 5 785.2111303161
98.137 7718.538 0.1 0.5 0.1 25 0.7 6 7542 6 7543 10 7547 7 783.287223612797
99.254 7719.894 0.1 0.5 0.1 25 0.75 6 7542 2 7543 5 7547 5 782.630698733002
99.825 7724.18 0.1 0.5 0.1 25 0.8 6 7542 1 7543 12 7547 6 779.87846644558
101.924 7718.603 0.1 0.5 0.1 25 0.85 6 7542 1 7543 10 7547 9 778.260127520048
104.27 7718.743 0.1 0.5 0.1 25 0.9 6 7542 5 7543 17 7548 38 775.726566167908
107.348 7716.679 0.1 0.5 0.1 25 0.95 6 7542 1 7543 14 7547 4 772.773311453656
