BatchFile test, number of cities :=52
AMTS Algorithm  - AntType = Sqrt - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF MA Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
90.957 7737.221 0.1 0.5 0.1 25 0 6 7543 10 7547 8 7548 24 796.327837729011
91.313 7731.609 0.1 0.5 0.1 25 0.05 6 7542 2 7543 7 7547 12 793.814162811952
91.564 7730.061 0.1 0.5 0.1 25 0.1 6 7542 1 7543 8 7547 10 792.64220983756
93.455 7736.446 0.1 0.5 0.1 25 0.15 6 7542 2 7543 5 7547 6 792.330368764684
92.975 7730.318 0.1 0.5 0.1 25 0.2 6 7542 2 7543 7 7547 11 790.364343772311
92.417 7737.209 0.1 0.5 0.1 25 0.25 6 7542 1 7543 6 7547 7 788.642226507859
94.471 7732.304 0.1 0.5 0.1 25 0.3 6 7542 1 7543 9 7547 8 787.722793501859
95.301 7728.32 0.1 0.5 0.1 25 0.35 6 7542 1 7543 9 7547 6 785.635202089619
96.882 7722.392 0.1 0.5 0.1 25 0.4 6 7542 3 7543 7 7547 12 783.244387742033
97.433 7727.002 0.1 0.5 0.1 25 0.45 6 7542 1 7543 6 7547 10 781.419795578992
98.951 7722.033 0.1 0.5 0.1 25 0.5 6 7542 1 7543 7 7547 8 779.024916798346
100.54 7723.128 0.1 0.5 0.1 25 0.55 6 7542 1 7543 19 7547 6 775.938585098551
101.473 7719.238 0.1 0.5 0.1 25 0.6 6 7542 3 7543 9 7547 7 775.231573823139
103.068 7715.155 0.1 0.5 0.1 25 0.65 6 7542 2 7543 11 7547 8 772.966905398787
104.546 7712.105 0.1 0.5 0.1 25 0.7 6 7542 2 7543 12 7547 8 769.221641105182
106.518 7715.518 0.1 0.5 0.1 25 0.75 6 7542 2 7543 9 7547 8 765.618725421418
109.84 7709.483 0.1 0.5 0.1 25 0.8 6 7542 2 7543 18 7547 3 762.980703998061
114.771 7707.126 0.1 0.5 0.1 25 0.85
