BatchFile test, number of cities :=52
AS Algorithm  - AntType = 1 on X - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
76.362 7757.909 0.1 0.5 0.1 25 0 7542 2 7547 25 7548 34 841.675214873566
80.397 7742.465 0.1 0.5 0.1 25 0.05 7547 30 7548 36 7569 1 829.191994457497
82.887 7747.285 0.1 0.5 0.1 25 0.1 7542 1 7543 2 7547 11 820.134280777992
84.793 7749.497 0.1 0.5 0.1 25 0.15 7543 5 7547 16 7548 49 807.602432826061
88.651 7742.8 0.1 0.5 0.1 25 0.2 7543 4 7547 10 7548 42 803.773332538044
89.466 7752.003 0.1 0.5 0.1 25 0.25 7543 2 7547 13 7548 57 795.281744515207
91.916 7753.514 0.1 0.5 0.1 25 0.3 7543 2 7547 6 7548 42 794.080994313767
94.304 7741.191 0.1 0.5 0.1 25 0.35 7543 4 7547 15 7548 58 787.088239666956
96.002 7754.484 0.1 0.5 0.1 25 0.4 7547 7 7548 49 7566 1 783.731705357317
97.723 7752.928 0.1 0.5 0.1 25 0.45 7543 4 7547 9 7548 39 779.075925608178
99.002 7748.38 0.1 0.5 0.1 25 0.5 7543 4 7547 8 7548 46 775.28859189709
100.523 7753.607 0.1 0.5 0.1 25 0.55 7542 1 7543 1 7547 6 770.716419056732
101.915 7755.627 0.1 0.5 0.1 25 0.6 7543 5 7547 11 7548 33 767.219480940358
103.362 7753.047 0.1 0.5 0.1 25 0.65 7547 6 7548 43 7571 3 765.112447129209
105.37 7759.102 0.1 0.5 0.1 25 0.7 7543 4 7547 8 7548 39 763.079907673461
105.487 7759.495 0.1 0.5 0.1 25 0.75 7543 2 7547 13 7548 38 759.460288699058
106.736 7761.636 0.1 0.5 0.1 25 0.8 7542 1 7543 4 7547 7 757.250399767128
109.652 7763.745 0.1 0.5 0.1 25 0.85 7543 4 7547 4 7548 36 753.460455816351
110.77 7772.322 0.1 0.5 0.1 25 0.9 7543 4 7547 7 7548 29 751.0004690457
111.753 7771.167 0.1 0.5 0.1 25 0.95 7543 1 7547 8 7548 25 749.78853758893
