BatchFile test, number of cities :=52
AS Algorithm  - AntType = 1 on Sqrt X - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
76.362 7757.909 0.1 0.5 0.1 25 0 7542 2 7547 25 7548 34 841.675214873566
77.177 7756.61 0.1 0.5 0.1 25 0.05 7542 1 7543 3 7547 19 833.714515515778
79.515 7753.577 0.1 0.5 0.1 25 0.1 7542 3 7543 2 7547 17 830.037590236368
80.375 7748.102 0.1 0.5 0.1 25 0.15 7543 2 7547 27 7548 41 829.134494111562
81.302 7746.543 0.1 0.5 0.1 25 0.2 7542 2 7543 3 7547 20 824.699706606421
82.183 7743.505 0.1 0.5 0.1 25 0.25 7542 2 7543 1 7547 24 821.893581758505
83.656 7743.873 0.1 0.5 0.1 25 0.3 7542 2 7543 1 7547 21 818.689665335296
83.902 7745.069 0.1 0.5 0.1 25 0.35 7543 4 7547 25 7548 38 811.0566901439
85.495 7746.393 0.1 0.5 0.1 25 0.4 7543 7 7547 15 7548 39 812.844533495914
86.448 7741.32 0.1 0.5 0.1 25 0.45 7542 2 7543 4 7547 25 809.331165573994
87.537 7741.879 0.1 0.5 0.1 25 0.5 7542 1 7543 3 7547 17 809.237829892531
87.501 7738.869 0.1 0.5 0.1 25 0.55 7542 1 7543 2 7547 13 804.820168508807
87.448 7745.363 0.1 0.5 0.1 25 0.6 7542 2 7543 4 7547 16 802.705151021961
89.53 7731.13 0.1 0.5 0.1 25 0.65 7542 2 7543 4 7547 26 801.119943043849
91.374 7737.22 0.1 0.5 0.1 25 0.7 7543 6 7547 17 7548 50 801.052074126611
90.702 7737.104 0.1 0.5 0.1 25 0.75 7543 5 7547 17 7548 46 799.182243577177
92.387 7737.253 0.1 0.5 0.1 25 0.8 7542 2 7543 3 7547 18 794.920937131724
93.629 7740.252 0.1 0.5 0.1 25 0.85 7543 5 7547 18 7548 32 792.906028656258
92.982 7737.217 0.1 0.5 0.1 25 0.9 7543 5 7547 18 7548 51 790.102752796671
94.947 7735.863 0.1 0.5 0.1 25 0.95 7542 1 7543 4 7547 14 790.331076069925
