BatchFile test, number of cities :=52
AS Algorithm  - AntType = Linear - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
76.362 7757.909 0.1 0.5 0.1 25 0 7542 2 7547 25 7548 34 841.675214873566
77.389 7753.85 0.1 0.5 0.1 25 0.05 7542 1 7543 2 7547 13 840.989837790516
76.76 7756.758 0.1 0.5 0.1 25 0.1 7547 28 7548 18 7574 1 837.781193062234
77.775 7755.244 0.1 0.5 0.1 25 0.15 7543 1 7547 16 7548 31 840.55774896904
78.352 7755.03 0.1 0.5 0.1 25 0.2 7542 1 7543 3 7547 20 838.061771339496
79.055 7750.175 0.1 0.5 0.1 25 0.25 7543 1 7547 29 7548 33 836.102104098611
78.864 7744.259 0.1 0.5 0.1 25 0.3 7543 2 7547 27 7548 42 838.358960910117
79.556 7749.088 0.1 0.5 0.1 25 0.35 7542 1 7547 23 7548 39 836.047428681146
79.402 7747.952 0.1 0.5 0.1 25 0.4 7542 3 7543 3 7547 22 835.019914064015
79.094 7752.304 0.1 0.5 0.1 25 0.45 7542 2 7543 1 7547 21 831.01186019925
80.014 7745.282 0.1 0.5 0.1 25 0.5 7542 2 7543 4 7547 29 827.15171376255
79.831 7759.025 0.1 0.5 0.1 25 0.55 7542 2 7547 16 7548 44 825.138241466716
80.6 7739.015 0.1 0.5 0.1 25 0.6 7542 1 7543 2 7547 21 825.511244408538
80.611 7748.759 0.1 0.5 0.1 25 0.65 7543 2 7547 21 7548 37 824.666818962447
80.995 7746.002 0.1 0.5 0.1 25 0.7 7542 1 7543 1 7547 20 821.776427478005
83.073 7747.458 0.1 0.5 0.1 25 0.75 7543 1 7547 19 7548 53 820.700680904476
83.009 7737.51 0.1 0.5 0.1 25 0.8 7543 2 7547 28 7548 42 815.412395073455
84.897 7739.47 0.1 0.5 0.1 25 0.85 7542 1 7543 3 7547 10 815.709909100472
84.602 7739.841 0.1 0.5 0.1 25 0.9 7542 2 7543 4 7547 10 812.835588200787
87.33 7736.264 0.1 0.5 0.1 25 0.95 7542 3 7543 8 7547 9 803.866912970188
