BatchFile test, number of cities :=52
AS Algorithm  - AntType = Square - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
76.362 7757.909 0.1 0.5 0.1 25 0 7542 2 7547 25 7548 34 841.675214873566
77.118 7751.529 0.1 0.5 0.1 25 0.05 7542 2 7543 3 7547 27 840.902354892862
77.47 7751.033 0.1 0.5 0.1 25 0.1 7542 5 7543 1 7547 22 841.841533689838
77.105 7754.026 0.1 0.5 0.1 25 0.15 7543 1 7547 22 7548 32 840.72625612559
77.317 7755.228 0.1 0.5 0.1 25 0.2 7547 18 7548 30 7569 2 838.937088739286
78.025 7751.227 0.1 0.5 0.1 25 0.25 7542 2 7543 2 7547 22 839.797629242427
77.383 7756.277 0.1 0.5 0.1 25 0.3 7542 2 7543 2 7547 30 840.062501379695
78.598 7750.293 0.1 0.5 0.1 25 0.35 7542 2 7547 33 7548 40 835.644617510262
78.322 7754.516 0.1 0.5 0.1 25 0.4 7543 2 7547 31 7548 22 837.244264409694
77.814 7750.447 0.1 0.5 0.1 25 0.45 7542 1 7543 2 7547 14 832.679054016732
78.785 7741.432 0.1 0.5 0.1 25 0.5 7542 2 7543 2 7547 23 837.784452166419
78.409 7746.946 0.1 0.5 0.1 25 0.55 7543 2 7547 22 7548 34 834.802205674268
79.485 7750.728 0.1 0.5 0.1 25 0.6 7542 1 7543 4 7547 16 831.843259632957
78.941 7751.503 0.1 0.5 0.1 25 0.65 7542 2 7543 4 7547 22 830.023599285967
79.814 7743.333 0.1 0.5 0.1 25 0.7 7543 2 7547 27 7548 42 831.680242699586
79.685 7746.99 0.1 0.5 0.1 25 0.75 7542 1 7547 16 7548 37 829.084944731764
80.228 7740.475 0.1 0.5 0.1 25 0.8 7542 1 7543 4 7547 21 826.089313828308
81.15 7745.177 0.1 0.5 0.1 25 0.85 7543 6 7547 16 7548 46 828.049214962792
81.026 7743.941 0.1 0.5 0.1 25 0.9 7542 1 7547 15 7548 41 821.816641555885
82.536 7742.919 0.1 0.5 0.1 25 0.95 7542 2 7543 5 7547 18 818.804470961341
