BatchFile test, number of cities :=52
AS Algorithm  - AntType = Sqrt - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
76.362 7757.909 0.1 0.5 0.1 25 0 7542 2 7547 25 7548 34 841.675214873566
77.328 7753.466 0.1 0.5 0.1 25 0.05 7542 1 7547 17 7548 37 837.989774456693
77.472 7757.167 0.1 0.5 0.1 25 0.1 7543 2 7547 18 7548 32 838.730602735077
77.987 7753.99 0.1 0.5 0.1 25 0.15 7542 3 7543 1 7547 26 839.200609188901
78.628 7749.829 0.1 0.5 0.1 25 0.2 7547 24 7548 29 7569 1 839.264930011124
79.101 7752.04 0.1 0.5 0.1 25 0.25 7542 3 7547 13 7548 32 832.957346593087
79.107 7745 0.1 0.5 0.1 25 0.3 7543 3 7547 22 7548 32 831.120387047324
79.599 7745.776 0.1 0.5 0.1 25 0.35 7543 2 7547 17 7548 47 828.429544495245
79.783 7748.557 0.1 0.5 0.1 25 0.4 7542 2 7547 22 7548 30 831.033518666924
81.253 7746.514 0.1 0.5 0.1 25 0.45 7542 3 7543 2 7547 20 824.878645024596
80.97 7739.905 0.1 0.5 0.1 25 0.5 7543 3 7547 29 7548 40 823.544889329989
81.601 7741.507 0.1 0.5 0.1 25 0.55 7542 1 7547 26 7548 43 821.368439799613
83.363 7743.086 0.1 0.5 0.1 25 0.6 7542 2 7543 3 7547 16 819.306999867995
83.951 7743.277 0.1 0.5 0.1 25 0.65 7543 1 7547 23 7548 33 814.386444225903
84.388 7742.719 0.1 0.5 0.1 25 0.7 7542 2 7543 4 7547 17 813.637637024803
85.481 7743.202 0.1 0.5 0.1 25 0.75 7542 1 7543 4 7547 13 811.364908637306
86.749 7736.04 0.1 0.5 0.1 25 0.8 7542 2 7543 8 7547 15 802.396880750027
90.139 7737.164 0.1 0.5 0.1 25 0.85 7543 4 7547 9 7548 44 801.322642163312
92.477 7729.705 0.1 0.5 0.1 25 0.9 7542 1 7543 6 7547 18 794.126139839321
94.653 7733.28 0.1 0.5 0.1 25 0.95 7542 2 7543 7 7547 13 785.288380107812
