BatchFile test, number of cities :=52
AS Algorithm  - AntType = Tanh - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
76.362 7757.909 0.1 0.5 0.1 25 0 7542 2 7547 25 7548 34 841.675214873566
77.702 7751.922 0.1 0.5 0.1 25 0.05 7542 1 7543 1 7547 19 841.941855592766
77.317 7751.356 0.1 0.5 0.1 25 0.1 7543 3 7547 22 7548 38 835.699694903287
79.102 7751.524 0.1 0.5 0.1 25 0.15 7543 2 7547 23 7548 37 837.507483030041
78.605 7750.167 0.1 0.5 0.1 25 0.2 7542 2 7543 1 7547 18 834.119575268874
78.983 7752.773 0.1 0.5 0.1 25 0.25 7542 2 7543 2 7547 23 830.712379864101
79.544 7748.39 0.1 0.5 0.1 25 0.3 7542 1 7543 2 7547 23 829.7609063356
80.809 7745.565 0.1 0.5 0.1 25 0.35 7542 3 7543 3 7547 28 827.866750873551
80.738 7753.385 0.1 0.5 0.1 25 0.4 7542 1 7543 1 7547 12 824.880025910199
82.323 7746.533 0.1 0.5 0.1 25 0.45 7542 2 7543 2 7547 22 819.587611215257
83.046 7744.677 0.1 0.5 0.1 25 0.5 7542 1 7543 1 7547 14 816.180405648265
83.968 7741.57 0.1 0.5 0.1 25 0.55 7542 1 7543 1 7547 19 812.733313469691
85.955 7739.034 0.1 0.5 0.1 25 0.6 7543 2 7547 18 7548 51 812.606716045287
87.074 7739.47 0.1 0.5 0.1 25 0.65 7542 2 7543 3 7547 25 806.404747530044
88.786 7737.812 0.1 0.5 0.1 25 0.7 7542 3 7543 7 7547 15 801.716606616605
90.716 7742.044 0.1 0.5 0.1 25 0.75 7542 1 7543 5 7547 13 794.218875650022
94.455 7734.71 0.1 0.5 0.1 25 0.8 7542 1 7543 9 7547 11 787.571578607745
99.881 7740.713 0.1 0.5 0.1 25 0.85 7542 2 7543 3 7547 4 777.380417816419
104.394 7753.308 0.1 0.5 0.1 25 0.9 7542 2 7543 6 7547 3 763.27319819584
114.916 7782.042 0.1 0.5 0.1 25 0.95 7543 3 7547 1 7548 22 742.49763905865
