BatchFile test, number of cities :=52
AS Algorithm  - AntType = 1 on X - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
76.362 7757.909 0.1 0.5 0.1 25 0 7542 2 7547 25 7548 34 841.675214873566
80.478 7750.085 0.1 0.5 0.1 25 0.05 7543 5 7547 26 7548 31 829.125421519697
82.842 7745.404 0.1 0.5 0.1 25 0.1 7543 4 7547 25 7548 40 818.133674058393
87.112 7745.002 0.1 0.5 0.1 25 0.15 7543 4 7547 18 7548 45 813.57558630838
88.448 7744.025 0.1 0.5 0.1 25 0.2 7543 3 7547 16 7548 39 809.33098859381
90.595 7736.266 0.1 0.5 0.1 25 0.25 7542 2 7543 5 7547 18 801.284282622805
92.985 7740.031 0.1 0.5 0.1 25 0.3 7542 1 7543 2 7547 20 795.459887261238
94.937 7738.277 0.1 0.5 0.1 25 0.35 7542 2 7543 5 7547 32 790.757346272275
96.962 7740.385 0.1 0.5 0.1 25 0.4 7542 1 7543 2 7547 18 789.899775229212
99.712 7734.495 0.1 0.5 0.1 25 0.45 7542 1 7543 2 7547 27 785.850494216429
99.927 7735.887 0.1 0.5 0.1 25 0.5 7542 2 7543 3 7547 26 783.017712370513
103.152 7735.475 0.1 0.5 0.1 25 0.55 7542 4 7543 1 7547 25 779.945993703263
104.114 7733.337 0.1 0.5 0.1 25 0.6 7542 2 7543 1 7547 28 775.365187478149
105.155 7744.666 0.1 0.5 0.1 25 0.65 7542 2 7543 5 7547 30 771.84572300415
106.807 7747.949 0.1 0.5 0.1 25 0.7 7542 2 7543 1 7547 25 769.846512434433
106.999 7747.425 0.1 0.5 0.1 25 0.75 7542 3 7543 3 7547 33 767.555039395642
109.091 7741.289 0.1 0.5 0.1 25 0.8 7542 3 7543 3 7547 39 764.868777027462
109.063 7747.499 0.1 0.5 0.1 25 0.85 7543 3 7547 30 7548 
