BatchFile test, number of cities :=52
AS Algorithm  - AntType = 1 on Sqrt X - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
76.362 7757.909 0.1 0.5 0.1 25 0 7542 2 7547 25 7548 34 841.675214873566
77.925 7749.895 0.1 0.5 0.1 25 0.05 7542 1 7543 3 7547 22 835.353887379359
78.588 7750.316 0.1 0.5 0.1 25 0.1 7542 2 7543 4 7547 22 833.736818281408
81.072 7741.257 0.1 0.5 0.1 25 0.15 7543 1 7547 27 7548 43 827.120513541686
81.269 7748.721 0.1 0.5 0.1 25 0.2 7543 1 7547 28 7548 42 825.96048786634
82.406 7741.194 0.1 0.5 0.1 25 0.25 7542 1 7543 1 7547 32 822.192867336748
84.095 7734.719 0.1 0.5 0.1 25 0.3 7542 1 7543 5 7547 33 821.575442108807
84.757 7737.353 0.1 0.5 0.1 25 0.35 7542 1 7543 1 7547 34 817.819374524535
85.627 7744.21 0.1 0.5 0.1 25 0.4 7542 3 7543 3 7547 26 819.108545386704
86.574 7738.871 0.1 0.5 0.1 25 0.45 7542 1 7543 3 7547 32 815.668924996819
88.046 7739.351 0.1 0.5 0.1 25 0.5 7542 2 7543 1 7547 29 816.939752479986
88.474 7734.361 0.1 0.5 0.1 25 0.55 7542 1 7543 2 7547 23 809.945559242936
88.77 7737.361 0.1 0.5 0.1 25 0.6 7542 1 7543 1 7547 32 808.844761895602
90.842 7728.969 0.1 0.5 0.1 25 0.65 7542 3 7543 1 7547 36 805.226493260145
90.735 7730.202 0.1 0.5 0.1 25 0.7 7542 1 7543 1 7547 24 806.965792351118
91.668 7733.315 0.1 0.5 0.1 25 0.75 7542 2 7543 4 7547 34 803.155549263848
93.368 7730.62 0.1 0.5 0.1 25 0.8 7542 5 7543 3 7547 24 803.509217582228
93.691 7732.052 0.1 0.5 0.1 25 0.85 7542 1 7543 5 7547 29 801.308922228347
94.513 7726.379 0.1 0.5 0.1 25 0.9 7542 6 7543 2 7547 33 800.503302314592
94.853 7724.544 0.1 0.5 0.1 25 0.95 7542 1 7543 5 7547 33 797.481603303982
