BatchFile test, number of cities :=52
AS Algorithm  - AntType = Boolean - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
76.362 7757.909 0.1 0.5 0.1 25 0 7542 2 7547 25 7548 34 841.675214873566
77.527 7753.858 0.1 0.5 0.1 25 0.05 7543 2 7547 23 7548 41 840.126180262813
78.453 7751.407 0.1 0.5 0.1 25 0.1 7543 1 7547 29 7548 31 837.097217844308
78.385 7753.04 0.1 0.5 0.1 25 0.15 7542 2 7543 3 7547 18 838.931003563694
78.778 7744.17 0.1 0.5 0.1 25 0.2 7543 2 7547 23 7548 33 835.558194335153
80.084 7748.359 0.1 0.5 0.1 25 0.25 7542 2 7543 2 7547 29 830.991496110929
80.888 7748.608 0.1 0.5 0.1 25 0.3 7542 2 7543 1 7547 33 829.126866574127
81.483 7735.789 0.1 0.5 0.1 25 0.35 7542 3 7543 5 7547 24 829.071522701974
84.123 7732.82 0.1 0.5 0.1 25 0.4 7542 3 7543 1 7547 28 822.974703351272
85.028 7733.085 0.1 0.5 0.1 25 0.45 7542 1 7543 3 7547 30 825.815560786345
85.29 7733.344 0.1 0.5 0.1 25 0.5 7542 1 7547 34 7548 48 819.913043008166
87.687 7729.887 0.1 0.5 0.1 25 0.55 7542 3 7543 2 7547 48 816.240891866296
89.157 7730.267 0.1 0.5 0.1 25 0.6 7542 2 7543 1 7547 27 811.460835738809
92.024 7726.28 0.1 0.5 0.1 25 0.65 7542 7 7543 4 7547 34 806.72943276071
93.769 7716.755 0.1 0.5 0.1 25 0.7 7542 2 7543 5 7547 51 801.38534330334
98.657 7716.994 0.1 0.5 0.1 25 0.75 7542 3 7543 3 7547 45 795.169292849372
104.95 7711.961 0.1 0.5 0.1 25 0.8 7542 1 7543 5 7547 44 786.799928506065
112.745 7715.013 0.1 0.5 0.1 25 0.85 7542 5 7543 5 7547 39 778.331693459227
128.037 7713.482 0.1 0.5 0.1 25 0.9 7542 1 7543 1 7547 42 764.84438723722
167.546 7742.646 0.1 0.5 0.1 25 0.95 7543 1 7547 19 7548 18 748.427321347154
