BatchFile test, number of cities :=52
AS Algorithm  - AntType = Linear - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
76.362 7757.909 0.1 0.5 0.1 25 0 7542 2 7547 25 7548 34 841.675214873566
77.813 7760.976 0.1 0.5 0.1 25 0.05 7542 1 7543 2 7547 22 844.280004422725
77.003 7753.278 0.1 0.5 0.1 25 0.1 7543 5 7547 22 7548 34 841.385844892331
77.37 7755.458 0.1 0.5 0.1 25 0.15 7542 1 7543 2 7547 24 838.134148315336
79.237 7747.114 0.1 0.5 0.1 25 0.2 7542 1 7543 1 7547 29 834.486241368513
78.882 7751.732 0.1 0.5 0.1 25 0.25 7543 2 7547 13 7548 31 836.696222574362
78.94 7753.428 0.1 0.5 0.1 25 0.3 7542 3 7543 1 7547 19 837.265722080993
80.352 7746.462 0.1 0.5 0.1 25 0.35 7542 1 7543 5 7547 28 829.954294801782
80.211 7746.828 0.1 0.5 0.1 25 0.4 7543 6 7547 28 7548 40 831.740267164681
80.849 7739.123 0.1 0.5 0.1 25 0.45 7543 1 7547 23 7548 44 832.50259968388
80.733 7749.637 0.1 0.5 0.1 25 0.5 7543 2 7547 21 7548 37 833.96807577576
81.856 7741.083 0.1 0.5 0.1 25 0.55 7543 4 7547 20 7548 47 829.39488578647
81.969 7739.69 0.1 0.5 0.1 25 0.6 7542 1 7547 19 7548 42 826.412347215763
82.488 7746.519 0.1 0.5 0.1 25 0.65 7542 1 7543 6 7547 25 824.236262160814
84.423 7740.033 0.1 0.5 0.1 25 0.7 7543 3 7547 16 7548 40 822.785277704999
85.211 7734.282 0.1 0.5 0.1 25 0.75 7542 4 7543 4 7547 16 821.43177433098
85.999 7728.473 0.1 0.5 0.1 25 0.8 7542 4 7543 3 7547 19 817.045644987778
88.622 7723.367 0.1 0.5 0.1 25 0.85 7542 4 7543 7 7547 17 814.728025536944
90.82 7723.814 0.1 0.5 0.1 25 0.9 7542 1 7543 8 7547 19 808.284058443109
93.448 7717.489 0.1 0.5 0.1 25 0.95 7542 2 7543 8 7547 20 803.648828606655
