BatchFile test, number of cities :=52
AS Algorithm  - AntType = Square - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
76.362 7757.909 0.1 0.5 0.1 25 0 7542 2 7547 25 7548 34 841.675214873566
76.96 7759.404 0.1 0.5 0.1 25 0.05 7543 4 7547 23 7548 34 837.916447390699
77.713 7746.095 0.1 0.5 0.1 25 0.1 7542 1 7543 2 7547 24 841.610814457454
77.471 7750.98 0.1 0.5 0.1 25 0.15 7543 1 7547 21 7548 27 840.443019293823
77.349 7743.653 0.1 0.5 0.1 25 0.2 7543 3 7547 18 7548 31 840.571635870394
78.085 7745.556 0.1 0.5 0.1 25 0.25 7542 1 7543 3 7547 17 839.537074549332
77.681 7751.581 0.1 0.5 0.1 25 0.3 7542 1 7543 4 7547 20 839.400227665029
78.588 7750.879 0.1 0.5 0.1 25 0.35 7542 1 7543 1 7547 19 833.203890661396
79.578 7746.966 0.1 0.5 0.1 25 0.4 7542 1 7547 24 7548 40 839.433145014642
79.157 7747.615 0.1 0.5 0.1 25 0.45 7543 1 7547 22 7548 37 835.53965187403
79.286 7749.695 0.1 0.5 0.1 25 0.5 7542 1 7543 3 7547 22 834.813700548169
79.416 7748.506 0.1 0.5 0.1 25 0.55 7543 6 7547 27 7548 32 830.391000378086
80.813 7746.587 0.1 0.5 0.1 25 0.6 7543 2 7547 19 7548 41 832.288464068807
80.793 7740.391 0.1 0.5 0.1 25 0.65 7542 1 7543 6 7547 19 830.759942323835
81.887 7737.515 0.1 0.5 0.1 25 0.7 7542 1 7543 6 7547 21 830.513691005968
81.915 7740.425 0.1 0.5 0.1 25 0.75 7543 3 7547 19 7548 42 825.93915414359
82.469 7739.664 0.1 0.5 0.1 25 0.8 7542 3 7543 4 7547 25 824.75065229322
83.399 7737.288 0.1 0.5 0.1 25 0.85 7542 1 7543 6 7547 19 824.437213264207
85.747 7727.291 0.1 0.5 0.1 25 0.9 7542 3 7543 4 7547 23 820.616936491548
87.889 7723.248 0.1 0.5 0.1 25 0.95 7542 3 7543 11 7547 25 815.085902225349
