BatchFile test, number of cities :=52
MM Algorithm  - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = Boolean
AntDir = Bidirectional
699.31 9152.31 0.02 1 0.01 25 0 8728 1 8740 1 8744 1 795.032935700479
677.92 9234.88 0.02 1 0.01 25 0.05 8643 1 8764 1 8828 1 793.836565479439
646.04 9210.89 0.02 1 0.01 25 0.1 8716 1 8845 1 8860 1 793.039573796997
683.37 9246.55 0.02 1 0.01 25 0.15 8603 1 8635 1 8712 1 792.116634688933
660.25 9270.05 0.02 1 0.01 25 0.2 8724 1 8737 1 8826 1 790.908053609643
674.92 9302.31 0.02 1 0.01 25 0.25 8770 1 8799 1 8872 1 789.567889575262
650.34 9375.01 0.02 1 0.01 25 0.3 8817 1 8839 1 8876 1 788.672876413261
659.19 9417.79 0.02 1 0.01 25 0.35 8929 1 8931 1 9017 1 787.435681484889
662.44 9431.49 0.02 1 0.01 25 0.4 8903 1 8913 1 8946 1 786.087437851163
682.06 9520.6 0.02 1 0.01 25 0.45 8849 1 9054 1 9097 1 785.344436704685
671.87 9555.21 0.02 1 0.01 25 0.5 9054 1 9131 1 9137 1 783.664467724935
717.28 9628.85 0.02 1 0.01 25 0.55 9011 1 9072 1 9144 1 782.615792666276
715.71 9720.64 0.02 1 0.01 25 0.6 9191 1 9321 1 9322 1 780.639810434034
636.69 9808.82 0.02 1 0.01 25 0.65 9178 1 9259 1 9299 1 779.332462880577
630.31 9927.37 0.02 1 0.01 25 0.7 9039 1 9262 1 9264 1 778.275208210913
647.29 10085.45 0.02 1 0.01 25 0.75 9542 1 9589 1 9611 1 775.90845723848
659.27 10234.1 0.02 1 0.01 25 0.8 9609 1 9719 1 9740 1 774.745413254479
694.31 10445.86 0.02 1 0.01 25 0.85 9707 1 9785 1 9903 1 772.897208709893
628.93 10750.96 0.02 1 0.01 25 0.9 9940 1 10118 1 10147 1 771.939113234643
694.17 11255 0.02 1 0.01 25 0.95 10558 1 10721 1 10784 1 771.782154309259

AntDir = Unidirectional
644.27 9192.79 0.02 1 0.01 25 0 8414 1 8768 1 8812 1 795.009764648622
628.49 9235.95 0.02 1 0.01 25 0.05 8622 2 8720 1 8762 1 794.441851314548
691.75 9251.73 0.02 1 0.01 25 0.1 8796 1 8797 1 8859 1 793.738980000605
672.84 9314.35 0.02 1 0.01 25 0.15 8747 1 8806 1 8957 1 793.21184231397
698.89 9309.61 0.02 1 0.01 25 0.2 8700 1 8739 1 8793 1 793.161051398406
685.54 9363.19 0.02 1 0.01 25 0.25 8783 1 8797 1 8907 1 792.083209315497
666.19 9407.8 0.02 1 0.01 25 0.3 8849 1 9015 1 9059 1 792.034760920434
708.1 9466.57 0.02 1 0.01 25 0.35 9007 1 9008 1 9034 1 791.199277987908
654.09 9486.33 0.02 1 0.01 25 0.4 8782 1 8988 1 8996 1 790.644067020497
675.56 9571.87 0.02 1 0.01 25 0.45 9051 1 9115 1 9124 1 789.711588778724
690.1 9587.31 0.02 1 0.01 25 0.5 9026 1 9029 1 9134 1 787.952409702293
623.1 9695.63 0.02 1 0.01 25 0.55 9223 1 9249 1 9328 1 787.423194507243
626.53 9823.3 0.02 1 0.01 25 0.6 9098 1 9350 1 9369 1 785.585512788734
725.79 9880.62 0.02 1 0.01 25 0.65 9156 1 9284 1 9286 1 783.602811466617
732.27 10005.39 0.02 1 0.01 25 0.7 9296 1 9345 1 9372 1 781.671015994019
764.1 10150.05 0.02 1 0.01 25 0.75 9345 1 9412 1 9429 1 779.631438075822
711.16 10449.23 0.02 1 0.01 25 0.8 9705 1 9735 1 9751 1 776.937050457919
736.35 10677.4 0.02 1 0.01 25 0.85 10106 1 10155 1 10156 1 773.891358452321
728.16 11162.18 0.02 1 0.01 25 0.9 10097 1 10510 1 10556 1 771.301900672005
790.96 11969.57 0.02 1 0.01 25 0.95 10835 1 11255 1 11299 1 769.22397222156


