BatchFile test, number of cities :=52
MM Algorithm  - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = Linear
AntDir = Bidirectional
699.31 9152.31 0.02 1 0.01 25 0 8728 1 8740 1 8744 1 795.032935700479
661.26 9176.3 0.02 1 0.01 25 0.05 8697 1 8764 1 8791 1 794.35453582878
634.45 9204.46 0.02 1 0.01 25 0.1 8717 1 8733 1 8743 1 793.825552713199
736.02 9199.09 0.02 1 0.01 25 0.15 8684 1 8693 1 8752 1 793.135524642088
703.45 9224.17 0.02 1 0.01 25 0.2 8576 1 8600 1 8703 1 792.960606100452
678.59 9223.45 0.02 1 0.01 25 0.25 8658 1 8674 1 8849 1 792.522702065013
670.52 9251.84 0.02 1 0.01 25 0.3 8675 1 8711 1 8793 1 791.915345168852
687.05 9299.17 0.02 1 0.01 25 0.35 8736 1 8897 1 8969 1 791.327043308337
676.72 9297.19 0.02 1 0.01 25 0.4 8859 1 8862 1 8906 1 791.066144377748
645.45 9347.03 0.02 1 0.01 25 0.45 8953 1 8965 1 8967 1 790.796616321169
635.95 9340.04 0.02 1 0.01 25 0.5 8772 1 8821 1 8846 1 789.77713038858
620.06 9357.41 0.02 1 0.01 25 0.55 8865 1 8889 1 8914 1 789.579934056261
637.31 9367.4 0.02 1 0.01 25 0.6 8715 1 8828 1 8846 1 789.399100880845
623.92 9394.5 0.02 1 0.01 25 0.65 8746 1 8801 1 8929 1 788.668897394318
697.79 9395.68 0.02 1 0.01 25 0.7 9009 1 9023 1 9070 1 787.948170143464
648.6 9448.01 0.02 1 0.01 25 0.75 8770 1 9021 1 9076 1 787.547128012037
668.15 9447.2 0.02 1 0.01 25 0.8 8716 1 8922 1 8951 1 786.490577325427
698.13 9470.95 0.02 1 0.01 25 0.85 8919 1 9028 1 9037 1 785.293639540247
704.4 9478.2 0.02 1 0.01 25 0.9 8993 1 9017 1 9031 1 785.203220532499
700 9541.53 0.02 1 0.01 25 0.95 8986 1 9034 1 9099 1 783.925276923643

AntDir = Unidirectional
706.27 9203.43 0.02 1 0.01 25 0 8595 1 8810 1 8811 1 794.497373845312
633.44 9217.45 0.02 1 0.01 25 0.05 8638 1 8708 1 8836 1 794.61127180069
643.49 9204.02 0.02 1 0.01 25 0.1 8121 1 8633 1 8812 1 795.177166021419
726.59 9240.19 0.02 1 0.01 25 0.15 8646 1 8665 1 8790 1 793.869240596716
712.54 9226.84 0.02 1 0.01 25 0.2 8665 1 8736 1 8780 1 793.461852493837
626.55 9298.84 0.02 1 0.01 25 0.25 8789 1 8795 1 8797 1 793.29662356183
602.02 9315.62 0.02 1 0.01 25 0.3 8595 1 8849 1 8885 1 793.774604414529
682.44 9305.97 0.02 1 0.01 25 0.35 8770 1 8828 1 8869 1 793.364213691434
670.39 9324.05 0.02 1 0.01 25 0.4 8645 1 8996 1 9003 1 792.982070112174
681.22 9353.66 0.02 1 0.01 25 0.45 8713 1 8949 2 8997 1 792.592145056835
617.37 9374.94 0.02 1 0.01 25 0.5 8655 1 8892 1 8938 1 792.129266555321
665.2 9415.94 0.02 1 0.01 25 0.55 8713 1 8965 1 8999 1 791.755129592117
703.75 9435.09 0.02 1 0.01 25 0.6 8934 1 9007 1 9030 1 790.905685422319
666.55 9487.81 0.02 1 0.01 25 0.65 9103 1 9109 1 9172 1 791.240091047855
662.58 9521.98 0.02 1 0.01 25 0.7 8981 1 9109 1 9128 1 790.454322249098
601.32 9592.3 0.02 1 0.01 25 0.75 8879 1 9141 1 9208 1 789.808663220744
658.42 9588.29 0.02 1 0.01 25 0.8 8961 1 9185 1 9239 1 789.145790844299
674.93 9624.95 0.02 1 0.01 25 0.85 8632 1 9040 1 9153 1 788.395439761359
742.22 9660.93 0.02 1 0.01 25 0.9 9101 1 9146 1 9183 1 787.385723200694
691.63 9767.56 0.02 1 0.01 25 0.95 9303 1 9343 1 9407 1 786.414880001986


