BatchFile test, number of cities :=52
MM Algorithm  - AntType = Boolean - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF MX MN Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
44.197 12291.049 0.3 1 3.3 25 0 3.3 0.1 10597 1 10753 1 10835 1 860.530150134533
45.43 12323.881 0.3 1 3.3 25 0.05 3.3 0.1 10705 1 10794 1 10832 1 858.33400183392
44.019 12371.82 0.3 1 3.3 25 0.1 3.3 0.1 10448 1 10462 1 10600 1 856.397524309757
45.289 12437.475 0.3 1 3.3 25 0.15 3.3 0.1 11060 1 11073 1 11118 1 854.494097341468
43.732 12487.801 0.3 1 3.3 25 0.2 3.3 0.1 11061 1 11113 1 11251 1 851.987584329457
45.206 12516.18 0.3 1 3.3 25 0.25 3.3 0.1 10547 1 10863 1 10998 1 849.814151853124
45.463 12602.869 0.3 1 3.3 25 0.3 3.3 0.1 10895 1 11016 1 11050 1 847.801886737969
45.711 12640.645 0.3 1 3.3 25 0.35 3.3 0.1 11123 1 11136 1 11141 1 845.418344621801
44.245 12702.86 0.3 1 3.3 25 0.4 3.3 0.1 11267 1 11390 1 11414 1 842.425175019432
43.882 12806.196 0.3 1 3.3 25 0.45 3.3 0.1 10535 1 10691 1 11225 1 840.011222628644
44.744 12878.319 0.3 1 3.3 25 0.5 3.3 0.1 10959 1 11230 1 11353 1 837.182998827301
42.581 13005.178 0.3 1 3.3 25 0.55 3.3 0.1 11552 1 11613 1 11637 1 834.118679129494
45.702 13070.164 0.3 1 3.3 25 0.6 3.3 0.1 11286 1 11511 1 11722 1 831.043041481552
45.517 13203.47 0.3 1 3.3 25 0.65 3.3 0.1 11294 1 11408 1 11532 1 827.539662853769
44.74 13361.709 0.3 1 3.3 25 0.7 3.3 0.1 11192 1 11922 1 11927 1 824.247681183264
46.199 13500.007 0.3 1 3.3 25 0.75 3.3 0.1 11292 1 11852 1 12020 1 820.479993495945
45.101 13703.852 0.3 1 3.3 25 0.8 3.3 0.1 11663 1 11782 1 12117 1 816.157087012489
45.087 13950.181 0.3 1 3.3 25 0.85 3.3 0.1 12015 1 12290 1 12361 1 812.043940361328
46.01 14295.313 0.3 1 3.3 25 0.9 3.3 0.1 12227 1 12315 1 12338 1 807.219901574561
44.692 14773.216 0.3 1 3.3 25 0.95 3.3 0.1 13092 1 13098 1 13190 1 802.940164505235
