BatchFile test, number of cities :=14
ACS Algorithm format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = Boolean
AntDir = Bidirectional
17.209 3361.346 0.1 0.1 2.2E-5 10 0 0.9 3323 136 3336 512 3346 21 147.016348419614
16.898 3359.012 0.1 0.1 2.2E-5 10 0.05 0.9 3323 140 3336 525 3346 13 147.644754412953
16.373 3358.739 0.1 0.1 2.2E-5 10 0.1 0.9 3323 131 3336 533 3346 19 146.308754803663
16.827 3356.21 0.1 0.1 2.2E-5 10 0.15 0.9 3323 144 3336 517 3346 16 146.261352210089
16.856 3357.692 0.1 0.1 2.2E-5 10 0.2 0.9 3323 146 3336 497 3346 15 146.085202954187
16.701 3360.624 0.1 0.1 2.2E-5 10 0.25 0.9 3323 138 3336 496 3346 16 146.501587329222
17.878 3359.545 0.1 0.1 2.2E-5 10 0.3 0.9 3323 141 3336 489 3346 7 146.480659241799
16.607 3359.296 0.1 0.1 2.2E-5 10 0.35 0.9 3323 131 3336 503 3346 12 147.129304954722
16.963 3360.171 0.1 0.1 2.2E-5 10 0.4 0.9 3323 138 3336 496 3346 15 146.493193972921
17.034 3355.231 0.1 0.1 2.2E-5 10 0.45 0.9 3323 160 3336 495 3346 12 147.328935860268
16.188 3353.323 0.1 0.1 2.2E-5 10 0.5 0.9 3323 145 3336 506 3346 16 146.776408729503
16.522 3355.902 0.1 0.1 2.2E-5 10 0.55 0.9 3323 133 3336 488 3346 8 147.673096123351
16.543 3356.687 0.1 0.1 2.2E-5 10 0.6 0.9 3323 144 3336 491 3346 10 148.200092527576
16.998 3356.942 0.1 0.1 2.2E-5 10 0.65 0.9 3323 150 3336 485 3346 9 148.12217619151
17.21 3351.382 0.1 0.1 2.2E-5 10 0.7 0.9 3323 179 3336 530 3346 11 150.14566952959
17.611 3352.078 0.1 0.1 2.2E-5 10 0.75 0.9 3323 181 3336 507 3346 13 152.441759538672
17.459 3350.416 0.1 0.1 2.2E-5 10 0.8 0.9 3323 211 3336 509 3346 3 154.732067283054
18.583 3352.345 0.1 0.1 2.2E-5 10 0.85 0.9 3323 205 3336 522 3346 3 155.340249160182
20.698 3348.192 0.1 0.1 2.2E-5 10 0.9 0.9 3323 239 3336 547 3346 1 157.155412081153
26.453 3343.659 0.1 0.1 2.2E-5 10 0.95 0.9 3323 335 3336 471 3371 40 157.417274154703

AntDir = Unidirectional
17.209 3361.346 0.1 0.1 2.2E-5 10 0 0.9 3323 136 3336 512 3346 21 147.016348419614
16.757 3359.301 0.1 0.1 2.2E-5 10 0.05 0.9 3323 140 3336 513 3346 17 146.997650190635
17.126 3360.291 0.1 0.1 2.2E-5 10 0.1 0.9 3323 159 3336 473 3346 13 146.279851822394
17.369 3358.178 0.1 0.1 2.2E-5 10 0.15 0.9 3323 138 3336 490 3346 19 145.562679619423
16.516 3356.496 0.1 0.1 2.2E-5 10 0.2 0.9 3323 127 3336 525 3346 18 145.431364637039
18.259 3358.725 0.1 0.1 2.2E-5 10 0.25 0.9 3323 144 3336 503 3346 9 145.873415068824
17.426 3356.97 0.1 0.1 2.2E-5 10 0.3 0.9 3323 128 3336 526 3346 12 146.401598414395
18.021 3355.757 0.1 0.1 2.2E-5 10 0.35 0.9 3323 147 3336 507 3346 13 147.995638068137
16.941 3349.884 0.1 0.1 2.2E-5 10 0.4 0.9 3323 147 3336 554 3346 8 148.367630171053
16.319 3352.091 0.1 0.1 2.2E-5 10 0.45 0.9 3323 137 3336 531 3346 6 149.864573704502
15.544 3347.867 0.1 0.1 2.2E-5 10 0.5 0.9 3323 130 3336 569 3346 9 151.291743686642
16.78 3350.037 0.1 0.1 2.2E-5 10 0.55 0.9 3323 102 3336 568 3346 12 152.074030924161
16.974 3346.497 0.1 0.1 2.2E-5 10 0.6 0.9 3323 135 3336 579 3346 10 152.60587605638
16.419 3346.937 0.1 0.1 2.2E-5 10 0.65 0.9 3323 151 3336 550 3346 5 153.4159884179
18.006 3343.505 0.1 0.1 2.2E-5 10 0.7 0.9 3323 183 3336 563 3346 3 155.221618122741
18.666 3342.162 0.1 0.1 2.2E-5 10 0.75 0.9 3323 195 3336 586 3359 1 158.470157162823
20.66 3344.422 0.1 0.1 2.2E-5 10 0.8 0.9 3323 193 3336 521 3346 1 164.438719028597
23.729 3345.766 0.1 0.1 2.2E-5 10 0.85 0.9 3323 229 3336 444 3346 4 168.564669486737
28.503 3341.767 0.1 0.1 2.2E-5 10 0.9 0.9 3323 330 3336 420 3346 1 170.957099136095
36.109 3337.84 0.1 0.1 2.2E-5 10 0.95 0.9 3323 492 3336 355 3346 3 180.895901114334


AntType = Linear
AntDir = Bidirectional
17.209 3361.346 0.1 0.1 2.2E-5 10 0 0.9 3323 136 3336 512 3346 21 147.016348419614
17.227 3358.407 0.1 0.1 2.2E-5 10 0.05 0.9 3323 153 3336 500 3346 14 147.312889132139
17.13 3360.32 0.1 0.1 2.2E-5 10 0.1 0.9 3323 139 3336 501 3346 26 147.234006912311
16.558 3357.77 0.1 0.1 2.2E-5 10 0.15 0.9 3323 145 3336 499 3346 13 146.419456785159
16.561 3359.774 0.1 0.1 2.2E-5 10 0.2 0.9 3323 146 3336 495 3346 16 146.718820989824
17.474 3361.538 0.1 0.1 2.2E-5 10 0.25 0.9 3323 136 3336 500 3346 13 146.610473830793
16.752 3360.814 0.1 0.1 2.2E-5 10 0.3 0.9 3323 145 3336 486 3346 12 146.482694834934
16.782 3359.338 0.1 0.1 2.2E-5 10 0.35 0.9 3323 152 3336 469 3346 27 146.660875568013
17.284 3363.311 0.1 0.1 2.2E-5 10 0.4 0.9 3323 129 3336 477 3346 14 145.939199418613
16.788 3358.951 0.1 0.1 2.2E-5 10 0.45 0.9 3323 133 3336 502 3346 13 146.507159405469
17.266 3357.215 0.1 0.1 2.2E-5 10 0.5 0.9 3323 145 3336 491 3346 20 146.643735547603
16.654 3359.954 0.1 0.1 2.2E-5 10 0.55 0.9 3323 148 3336 487 3346 19 147.86049655314
16.839 3356.678 0.1 0.1 2.2E-5 10 0.6 0.9 3323 140 3336 488 3346 24 146.659461643353
17.71 3357.513 0.1 0.1 2.2E-5 10 0.65 0.9 3323 171 3336 489 3346 12 147.466348432159
16.13 3357.729 0.1 0.1 2.2E-5 10 0.7 0.9 3323 147 3336 496 3346 19 147.55461094261
16.012 3357.374 0.1 0.1 2.2E-5 10 0.75 0.9 3323 140 3336 506 3346 19 147.383663232663
16.819 3355.122 0.1 0.1 2.2E-5 10 0.8 0.9 3323 187 3336 481 3346 18 147.763748244387
16.616 3357.944 0.1 0.1 2.2E-5 10 0.85 0.9 3323 177 3336 468 3346 13 148.391534071059
17.22 3357.944 0.1 0.1 2.2E-5 10 0.9 0.9 3323 185 3336 492 3346 7 148.239308678823
17.804 3349.411 0.1 0.1 2.2E-5 10 0.95 0.9 3323 208 3336 523 3346 12 149.06935193973

AntDir = Unidirectional
17.209 3361.346 0.1 0.1 2.2E-5 10 0 0.9 3323 136 3336 512 3346 21 147.016348419614
16.817 3359.324 0.1 0.1 2.2E-5 10 0.05 0.9 3323 152 3336 497 3346 10 146.952559534217
17.488 3357.127 0.1 0.1 2.2E-5 10 0.1 0.9 3323 138 3336 518 3346 21 146.704640284993
16.681 3362.217 0.1 0.1 2.2E-5 10 0.15 0.9 3323 126 3336 495 3346 20 146.431465225186
16.881 3356.791 0.1 0.1 2.2E-5 10 0.2 0.9 3323 157 3336 476 3346 19 147.41749765341
