BatchFile test, number of cities :=14
AS Algorithm  - AntType = 1 on X - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
53.557 3360.096 0.1 0.5 0.1 10 0 3323 101 3336 258 3346 64 116.334101997084
52.618 3361.284 0.1 0.5 0.1 10 0.05 3323 90 3336 256 3346 64 116.017003274059
53.211 3359.804 0.1 0.5 0.1 10 0.1 3323 101 3336 264 3346 74 115.945685492539
53.134 3360.788 0.1 0.5 0.1 10 0.15 3323 95 3336 269 3346 53 115.884866428284
53.34 3362.139 0.1 0.5 0.1 10 0.2 3323 78 3336 261 3346 46 115.790248149571
53.785 3360.1 0.1 0.5 0.1 10 0.25 3323 80 3336 296 3346 53 115.661559236167
54.922 3359.407 0.1 0.5 0.1 10 0.3 3323 111 3336 272 3346 67 115.393368581162
55.23 3360.007 0.1 0.5 0.1 10 0.35 3323 94 3336 285 3346 63 115.602599593215
54.212 3361.375 0.1 0.5 0.1 10 0.4 3323 96 3336 252 3346 60 115.257388705239
53.669 3360.311 0.1 0.5 0.1 10 0.45 3323 96 3336 273 3346 66 115.020333602703
55.264 3361.72 0.1 0.5 0.1 10 0.5 3323 89 3336 243 3346 57 115.061274838262
55.386 3359.078 0.1 0.5 0.1 10 0.55 3323 100 3336 288 3346 56 115.060547897784
55.045 3359.252 0.1 0.5 0.1 10 0.6 3323 93 3336 286 3346 62 114.944817192396
55.862 3360.305 0.1 0.5 0.1 10 0.65 3323 101 3336 263 3346 65 114.794313172434
55.054 3361.603 0.1 0.5 0.1 10 0.7 3323 97 3336 251 3346 58 114.963993054827
55.347 3362.434 0.1 0.5 0.1 10 0.75 3323 96 3336 250 3346 49 114.716855714676
55.957 3361.847 0.1 0.5 0.1 10 0.8 3323 98 3336 259 3346 48 114.64968641837
55.696 3362.787 0.1 0.5 0.1 10 0.85 3323 96 3336 233 3346 56 114.565819869684
55.706 3361.844 0.1 0.5 0.1 10 0.9 3323 94 3336 250 3346 47 114.543612703989
56.39 3362.696 0.1 0.5 0.1 10 0.95 3323 95 3336 225 3346 70 114.50309972763
