BatchFile test, number of cities :=14
AS Algorithm  - AntType = 1 on Sqrt X - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
53.557 3360.096 0.1 0.5 0.1 10 0 3323 101 3336 258 3346 64 116.334101997084
52.254 3361.115 0.1 0.5 0.1 10 0.05 3323 106 3336 262 3346 47 116.117947711234
53.398 3360.948 0.1 0.5 0.1 10 0.1 3323 87 3336 261 3346 65 115.937535233526
54.423 3359.712 0.1 0.5 0.1 10 0.15 3323 109 3336 276 3346 45 116.101202100896
54.171 3361.746 0.1 0.5 0.1 10 0.2 3323 92 3336 260 3346 50 115.947576936
54.362 3359.261 0.1 0.5 0.1 10 0.25 3323 118 3336 270 3346 48 115.86190011433
54.19 3358.946 0.1 0.5 0.1 10 0.3 3323 107 3336 299 3346 53 115.776317969432
54.221 3360.437 0.1 0.5 0.1 10 0.35 3323 91 3336 274 3346 53 115.866574205574
54.239 3360.938 0.1 0.5 0.1 10 0.4 3323 105 3336 272 3346 44 115.832024660676
54.151 3360.88 0.1 0.5 0.1 10 0.45 3323 110 3336 251 3346 50 115.354430148549
54.759 3360.498 0.1 0.5 0.1 10 0.5 3323 91 3336 275 3346 69 115.805415798655
54.585 3360.878 0.1 0.5 0.1 10 0.55 3323 95 3336 257 3346 65 115.467542978721
54.05 3361.598 0.1 0.5 0.1 10 0.6 3323 93 3336 256 3346 53 115.463980183661
54.806 3360.825 0.1 0.5 0.1 10 0.65 3323 85 3336 265 3346 60 115.417984355903
55.247 3361.227 0.1 0.5 0.1 10 0.7 3323 100 3336 247 3346 64 115.276577628948
55.512 3361.635 0.1 0.5 0.1 10 0.75 3323 95 3336 262 3346 49 115.195656786514
54.273 3362.694 0.1 0.5 0.1 10 0.8 3323 90 3336 240 3346 55 115.110672919095
56.469 3361.375 0.1 0.5 0.1 10 0.85 3323 112 3336 245 3346 57 115.248956102712
55.578 3362.055 0.1 0.5 0.1 10 0.9 3323 108 3336 240 3346 46 115.103366571085
56.222 3360.117 0.1 0.5 0.1 10 0.95 3323 100 3336 276 3346 52 115.004803289269
