BatchFile test, number of cities :=14
AS Algorithm  - AntType = Boolean - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
53.557 3360.096 0.1 0.5 0.1 10 0 3323 101 3336 258 3346 64 116.334101997084
54.13 3360.364 0.1 0.5 0.1 10 0.05 3323 106 3336 263 3346 60 116.267265508938
53.776 3361.934 0.1 0.5 0.1 10 0.1 3323 100 3336 231 3346 71 115.9738203327
53.893 3362.128 0.1 0.5 0.1 10 0.15 3323 83 3336 246 3346 60 116.294268742336
54.688 3359.276 0.1 0.5 0.1 10 0.2 3323 105 3336 275 3346 69 115.955270848912
53.871 3361.612 0.1 0.5 0.1 10 0.25 3323 98 3336 254 3346 49 115.881128056607
55.564 3359.395 0.1 0.5 0.1 10 0.3 3323 114 3336 271 3346 58 115.996922394769
54.375 3361.92 0.1 0.5 0.1 10 0.35 3323 104 3336 233 3346 52 115.737011088947
54.776 3359.54 0.1 0.5 0.1 10 0.4 3323 107 3336 285 3346 55 115.761824816953
55.231 3361.325 0.1 0.5 0.1 10 0.45 3323 83 3336 272 3346 52 115.232839246185
54.732 3361.26 0.1 0.5 0.1 10 0.5 3323 90 3336 255 3346 59 115.335660592792
54.815 3361.514 0.1 0.5 0.1 10 0.55 3323 100 3336 263 3346 45 115.07886545019
55.305 3361.598 0.1 0.5 0.1 10 0.6 3323 75 3336 285 3346 47 114.774527160969
56.067 3360.785 0.1 0.5 0.1 10 0.65 3323 95 3336 270 3346 59 114.812327934213
57.673 3362.167 0.1 0.5 0.1 10 0.7 3323 110 3336 237 3346 58 114.610833159621
57.185 3361.205 0.1 0.5 0.1 10 0.75 3323 118 3336 239 3346 62 114.184513060949
56.776 3363.802 0.1 0.5 0.1 10 0.8 3323 84 3336 240 3346 53 113.897799126922
57.776 3363.205 0.1 0.5 0.1 10 0.85 3323 113 3336 224 3346 53 113.377870872993
59.765 3364.264 0.1 0.5 0.1 10 0.9 3323 98 3336 221 3346 54 112.777606315918
63.41 3366.463 0.1 0.5 0.1 10 0.95 3323 89 3336 219 3346 56 111.917841358101
