BatchFile test, number of cities :=14
AS Algorithm  - AntType = Linear - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
53.557 3360.096 0.1 0.5 0.1 10 0 3323 101 3336 258 3346 64 116.334101997084
52.833 3360.028 0.1 0.5 0.1 10 0.05 3323 114 3336 253 3346 70 116.270182832847
52.823 3361.037 0.1 0.5 0.1 10 0.1 3323 83 3336 276 3346 53 116.140783244499
53.329 3360.855 0.1 0.5 0.1 10 0.15 3323 104 3336 257 3346 51 116.276083434193
54.718 3358.145 0.1 0.5 0.1 10 0.2 3323 110 3336 297 3346 56 116.220752715346
53.844 3360.333 0.1 0.5 0.1 10 0.25 3323 98 3336 281 3346 65 116.173196586389
53.215 3360.769 0.1 0.5 0.1 10 0.3 3323 101 3336 243 3346 61 116.022122068915
53.049 3359.364 0.1 0.5 0.1 10 0.35 3323 92 3336 287 3346 67 115.982980080554
53.873 3361.184 0.1 0.5 0.1 10 0.4 3323 117 3336 246 3346 52 115.752440016675
52.333 3360.851 0.1 0.5 0.1 10 0.45 3323 86 3336 264 3346 64 115.875539590406
54.255 3360.005 0.1 0.5 0.1 10 0.5 3323 91 3336 269 3346 61 116.182299465063
53.194 3361.564 0.1 0.5 0.1 10 0.55 3323 93 3336 243 3346 74 115.959009882942
53.822 3360.153 0.1 0.5 0.1 10 0.6 3323 107 3336 256 3346 51 115.60488354445
53.825 3361.227 0.1 0.5 0.1 10 0.65 3323 89 3336 257 3346 62 115.916228368132
54.414 3359.95 0.1 0.5 0.1 10 0.7 3323 101 3336 270 3346 67 115.793995228856
54.167 3361.554 0.1 0.5 0.1 10 0.75 3323 99 3336 250 3346 50 115.864315417157
54.762 3361.716 0.1 0.5 0.1 10 0.8 3323 105 3336 230 3346 59 115.873600735379
54.341 3361.585 0.1 0.5 0.1 10 0.85 3323 102 3336 248 3346 59 115.649899880899
54.476 3359.747 0.1 0.5 0.1 10 0.9 3323 108 3336 262 3346 68 115.467755660372
54.607 3361.281 0.1 0.5 0.1 10 0.95 3323 96 3336 259 3346 49 115.360558847304
