BatchFile test, number of cities :=14
AS Algorithm  - AntType = Square - AntDir = Bidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
53.557 3360.096 0.1 0.5 0.1 10 0 3323 101 3336 258 3346 64 116.334101997084
53.137 3361.475 0.1 0.5 0.1 10 0.05 3323 103 3336 240 3346 68 116.266828580381
52.915 3362.404 0.1 0.5 0.1 10 0.1 3323 88 3336 250 3346 45 116.317491228021
53.569 3359.968 0.1 0.5 0.1 10 0.15 3323 88 3336 292 3346 53 116.413287251767
53.762 3360.295 0.1 0.5 0.1 10 0.2 3323 84 3336 284 3346 67 115.949394785769
53.321 3361.821 0.1 0.5 0.1 10 0.25 3323 88 3336 250 3346 61 116.420628578512
53.526 3360.694 0.1 0.5 0.1 10 0.3 3323 104 3336 256 3346 53 116.01955330528
53.742 3359.985 0.1 0.5 0.1 10 0.35 3323 104 3336 294 3346 39 116.341253208591
53.545 3361.642 0.1 0.5 0.1 10 0.4 3323 79 3336 271 3346 48 116.060937794908
53.934 3360.932 0.1 0.5 0.1 10 0.45 3323 106 3336 251 3346 63 116.217017816656
52.922 3361.255 0.1 0.5 0.1 10 0.5 3323 95 3336 250 3346 63 116.445715265553
53.509 3360.912 0.1 0.5 0.1 10 0.55 3323 96 3336 259 3346 47 116.170455333258
53.754 3359.296 0.1 0.5 0.1 10 0.6 3323 94 3336 284 3346 54 115.907682656208
54.015 3360.521 0.1 0.5 0.1 10 0.65 3323 94 3336 268 3346 48 115.850635184935
53.585 3360.107 0.1 0.5 0.1 10 0.7 3323 105 3336 261 3346 65 116.173409858814
52.93 3361.08 0.1 0.5 0.1 10 0.75 3323 93 3336 282 3346 53 116.048230934258
54.487 3361.123 0.1 0.5 0.1 10 0.8 3323 97 3336 255 3346 49 116.133132042384
54.048 3361.105 0.1 0.5 0.1 10 0.85 3323 90 3336 260 3346 67 115.735900133767
54.658 3360.459 0.1 0.5 0.1 10 0.9 3323 110 3336 247 3346 57 115.78166016409
53.559 3360.069 0.1 0.5 0.1 10 0.95 3323 104 3336 260 3346 59 115.64029904508
