BatchFile test, number of cities :=14
AS Algorithm - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = 1 on X
AntDir = Unidirectional
53.557 3360.096 0.1 0.5 0.1 10 0 3323 101 3336 258 3346 64 116.334101997084
53.394 3360.956 0.1 0.5 0.1 10 0.05 3323 98 3336 256 3346 49 116.121204129813
54.829 3361.104 0.1 0.5 0.1 10 0.1 3323 93 3336 261 3346 63 115.65192038044
54.775 3359.253 0.1 0.5 0.1 10 0.15 3323 121 3336 265 3346 58 115.355624910766
55.283 3361.168 0.1 0.5 0.1 10 0.2 3323 112 3336 226 3346 62 115.060658126173
55.079 3362.635 0.1 0.5 0.1 10 0.25 3323 93 3336 242 3346 55 115.125345953088
56.761 3360.27 0.1 0.5 0.1 10 0.3 3323 113 3336 259 3346 54 114.806706580925
56.329 3360.188 0.1 0.5 0.1 10 0.35 3323 119 3336 236 3346 68 114.475373601543
57.186 3361.388 0.1 0.5 0.1 10 0.4 3323 109 3336 230 3346 62 114.495645708531
57.945 3361.148 0.1 0.5 0.1 10 0.45 3323 104 3336 258 3346 52 114.31533920342
57.255 3361.669 0.1 0.5 0.1 10 0.5 3323 92 3336 253 3346 53 114.208878113833
57.479 3362.443 0.1 0.5 0.1 10 0.55 3323 89 3336 241 3346 54 113.706087766984
57.732 3362.793 0.1 0.5 0.1 10 0.6 3323 110 3336 223 3346 43 113.484415600901
57.347 3362.057 0.1 0.5 0.1 10 0.65 3323 85 3336 272 3346 50 113.691790218501
59.053 3361.201 0.1 0.5 0.1 10 0.7 3323 115 3336 233 3346 54 113.592227400869
58.459 3361.828 0.1 0.5 0.1 10 0.75 3323 102 3336 239 3346 63 113.223587579841
59.116 3362.458 0.1 0.5 0.1 10 0.8 3323 113 3336 215 3346 70 113.272025450389
59.884 3362.083 0.1 0.5 0.1 10 0.85 3323 110 3336 224 3346 60 113.235256583037
61.315 3361.104 0.1 0.5 0.1 10 0.9 3323 110 3336 238 3346 54 113.082259654494
58.207 3364.96 0.1 0.5 0.1 10 0.95 3323 88 3336 215 3346 48 112.771931724321


