BatchFile test, number of cities :=14
AS Algorithm  - AntType = 1 on Sqrt X - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
53.557 3360.096 0.1 0.5 0.1 10 0 3323 101 3336 258 3346 64 116.334101997084
53.811 3359.903 0.1 0.5 0.1 10 0.05 3323 98 3336 261 3346 65 116.252627898132
54.351 3361.195 0.1 0.5 0.1 10 0.1 3323 103 3336 246 3346 54 115.940766914399
53.632 3361.521 0.1 0.5 0.1 10 0.15 3323 82 3336 272 3346 58 115.618223913298
53.95 3360.676 0.1 0.5 0.1 10 0.2 3323 91 3336 258 3346 62 115.418449057675
54.984 3360.536 0.1 0.5 0.1 10 0.25 3323 106 3336 253 3346 70 115.57773830355
54.751 3361.239 0.1 0.5 0.1 10 0.3 3323 86 3336 265 3346 55 115.408417251482
54.475 3361.195 0.1 0.5 0.1 10 0.35 3323 96 3336 248 3346 60 114.773668792501
56.306 3361.226 0.1 0.5 0.1 10 0.4 3323 107 3336 243 3346 54 115.091705822504
55.605 3361.949 0.1 0.5 0.1 10 0.45 3323 85 3336 263 3346 56 114.882455483878
56.428 3361.027 0.1 0.5 0.1 10 0.5 3323 109 3336 247 3346 62 114.814966445587
57.457 3359.532 0.1 0.5 0.1 10 0.55 3323 107 3336 277 3346 65 114.925624595934
56.501 3360.983 0.1 0.5 0.1 10 0.6 3323 85 3336 267 3346 62 114.598271123866
56.276 3361.906 0.1 0.5 0.1 10 0.65 3323 88 3336 245 3346 72 114.547969812283
56.022 3361.714 0.1 0.5 0.1 10 0.7 3323 103 3336 253 3346 70 114.117156100685
57.181 3361.034 0.1 0.5 0.1 10 0.75 3323 95 3336 256 3346 59 114.356841305382
58.125 3361.958 0.1 0.5 0.1 10 0.8 3323 86 3336 257 3346 56 114.193495713034
58.023 3362.072 0.1 0.5 0.1 10 0.85 3323 98 3336 243 3346 56 114.00030251909
58.797 3361.412 0.1 0.5 0.1 10 0.9 3323 103 3336 250 3346 60 114.020190750531
58.055 3362.346 0.1 0.5 0.1 10 0.95 3323 106 3336 234 3346 51 113.888177522885
