BatchFile test, number of cities :=14
AS Algorithm  - AntType = Square - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
53.557 3360.096 0.1 0.5 0.1 10 0 3323 101 3336 258 3346 64 116.334101997084
53.972 3360.608 0.1 0.5 0.1 10 0.05 3323 100 3336 275 3346 56 116.425018296268
53.44 3360.769 0.1 0.5 0.1 10 0.1 3323 100 3336 272 3346 47 116.207251029521
54.024 3359.556 0.1 0.5 0.1 10 0.15 3323 89 3336 283 3346 64 116.533256673212
53.188 3361.232 0.1 0.5 0.1 10 0.2 3323 98 3336 262 3346 55 116.296926308848
53.523 3361.57 0.1 0.5 0.1 10 0.25 3323 102 3336 249 3346 52 115.992729460992
53.35 3360.958 0.1 0.5 0.1 10 0.3 3323 84 3336 266 3346 63 116.177151874136
53.444 3360.271 0.1 0.5 0.1 10 0.35 3323 99 3336 263 3346 61 115.814853197317
53.53 3361.849 0.1 0.5 0.1 10 0.4 3323 85 3336 256 3346 55 116.114251617571
52.806 3362.138 0.1 0.5 0.1 10 0.45 3323 99 3336 247 3346 53 115.776992171293
54.415 3361.809 0.1 0.5 0.1 10 0.5 3323 112 3336 243 3346 51 116.03387807041
54.551 3360.405 0.1 0.5 0.1 10 0.55 3323 106 3336 263 3346 53 116.005344573149
54.048 3362.22 0.1 0.5 0.1 10 0.6 3323 88 3336 244 3346 55 115.665471527632
54.622 3361.717 0.1 0.5 0.1 10 0.65 3323 88 3336 251 3346 56 115.750534616308
54.049 3361.13 0.1 0.5 0.1 10 0.7 3323 86 3336 269 3346 47 115.819660462669
54.802 3362.869 0.1 0.5 0.1 10 0.75 3323 80 3336 241 3346 62 115.782411112144
55.289 3363.238 0.1 0.5 0.1 10 0.8 3323 77 3336 259 3346 53 115.34667492227
55.728 3363.01 0.1 0.5 0.1 10 0.85 3323 109 3336 216 3346 64 115.45024068568
56.147 3361.83 0.1 0.5 0.1 10 0.9 3323 100 3336 227 3346 55 115.275853575432
57.561 3362.951 0.1 0.5 0.1 10 0.95 3323 111 3336 224 3346 67 114.973957951299
