BatchFile test, number of cities :=14
AS Algorithm  - AntType = Sqrt - AntDir = Unidirectional - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
53.557 3360.096 0.1 0.5 0.1 10 0 3323 101 3336 258 3346 64 116.334101997084
52.904 3359.587 0.1 0.5 0.1 10 0.05 3323 109 3336 272 3346 44 116.140876143603
54.11 3361.464 0.1 0.5 0.1 10 0.1 3323 113 3336 217 3346 61 116.388632038247
53.412 3361.092 0.1 0.5 0.1 10 0.15 3323 93 3336 261 3346 49 116.168706290511
54.19 3359.744 0.1 0.5 0.1 10 0.2 3323 103 3336 281 3346 56 116.237981162233
53.794 3361.695 0.1 0.5 0.1 10 0.25 3323 101 3336 240 3346 48 116.104132471826
54.955 3359.129 0.1 0.5 0.1 10 0.3 3323 106 3336 284 3346 59 115.906693059169
54.23 3360.742 0.1 0.5 0.1 10 0.35 3323 99 3336 271 3346 65 115.60531356749
55.409 3360.895 0.1 0.5 0.1 10 0.4 3323 102 3336 239 3346 59 115.820855521438
54.54 3362.768 0.1 0.5 0.1 10 0.45 3323 95 3336 244 3346 63 115.073020839866
55.472 3362.054 0.1 0.5 0.1 10 0.5 3323 98 3336 244 3346 62 115.414124198711
55.57 3361.741 0.1 0.5 0.1 10 0.55 3323 101 3336 245 3346 50 115.111546258793
56.053 3362.629 0.1 0.5 0.1 10 0.6 3323 98 3336 220 3346 61 115.146525611632
55.868 3363.576 0.1 0.5 0.1 10 0.65 3323 99 3336 218 3346 51 114.754531890724
55.775 3362.808 0.1 0.5 0.1 10 0.7 3323 87 3336 226 3346 59 114.541785635956
58.267 3361.496 0.1 0.5 0.1 10 0.75 3323 105 3336 237 3346 57 114.602517016461
58.375 3362.214 0.1 0.5 0.1 10 0.8 3323 102 3336 228 3346 50 114.061816606721
58.555 3364.338 0.1 0.5 0.1 10 0.85 3323 97 3336 219 3346 57 114.155388221863
58.843 3362.76 0.1 0.5 0.1 10 0.9 3323 96 3336 218 3346 67 113.752946233449
59.729 3364.892 0.1 0.5 0.1 10 0.95 3323 104 3336 172 3346 56 113.23155797153
