BatchFile test, number of cities :=14
ACS Algorithm - LSType Exponential Times = 5
Format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = None
AntDir = Bidirectional
6.284 3345.196 0.1 0.1 2.2E-5 10 0 0.9 3323 67 3336 839 3371 36 128.751929261958
6.121 3345.815 0.1 0.1 2.2E-5 10 0.05 0.9 3323 47 3336 847 3371 46 128.459292247324
6.332 3343.956 0.1 0.1 2.2E-5 10 0.1 0.9 3323 58 3336 849 3371 46 128.646247493681
6.126 3345.644 0.1 0.1 2.2E-5 10 0.15 0.9 3323 57 3336 831 3371 53 128.63089449761
6.207 3347.54 0.1 0.1 2.2E-5 10 0.2 0.9 3323 54 3336 828 3371 49 128.083130730976
6.045 3343.773 0.1 0.1 2.2E-5 10 0.25 0.9 3323 71 3336 848 3371 28 128.693419273118
6.12 3344.753 0.1 0.1 2.2E-5 10 0.3 0.9 3323 62 3336 849 3371 37 128.284437807912
6.127 3347.125 0.1 0.1 2.2E-5 10 0.35 0.9 3323 72 3336 811 3371 51 128.200178980031
5.956 3345.916 0.1 0.1 2.2E-5 10 0.4 0.9 3323 58 3336 840 3371 39 128.332343093188
6.187 3346.447 0.1 0.1 2.2E-5 10 0.45 0.9 3323 64 3336 833 3371 40 128.115295019898
6.01 3345.089 0.1 0.1 2.2E-5 10 0.5 0.9 3323 57 3336 841 3371 47 128.188097973378
6.196 3345.889 0.1 0.1 2.2E-5 10 0.55 0.9 3323 66 3336 836 3371 35 128.20952037437
6.067 3345.645 0.1 0.1 2.2E-5 10 0.6 0.9 3323 63 3336 837 3371 40 128.548815690805
6.061 3344.756 0.1 0.1 2.2E-5 10 0.65 0.9 3323 44 3336 853 3371 51 128.700998640817
5.994 3345.028 0.1 0.1 2.2E-5 10 0.7 0.9 3323 63 3336 848 3371 35 128.799621805466
5.97 3345.185 0.1 0.1 2.2E-5 10 0.75 0.9 3323 78 3336 822 3371 42 128.350213897625
6.078 3345.065 0.1 0.1 2.2E-5 10 0.8 0.9 3323 60 3336 842 3371 43 128.166000982926
6.074 3345.682 0.1 0.1 2.2E-5 10 0.85 0.9 3323 64 3336 840 3371 31 128.446305053302
6.162 3345.372 0.1 0.1 2.2E-5 10 0.9 0.9 3323 51 3336 849 3371 45 128.359280833673
5.835 3344.976 0.1 0.1 2.2E-5 10 0.95 0.9 3323 59 3336 840 3371 48 128.125704092812

AntDir = Unidirectional
6.284 3345.196 0.1 0.1 2.2E-5 10 0 0.9 3323 67 3336 839 3371 36 128.751929261958
6.121 3345.815 0.1 0.1 2.2E-5 10 0.05 0.9 3323 47 3336 847 3371 46 128.459292247324
6.332 3343.956 0.1 0.1 2.2E-5 10 0.1 0.9 3323 58 3336 849 3371 46 128.646247493681
