BatchFile test, number of cities :=14
AS Algorithm - LSType Exponential Times = 5
Format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = None
AntDir = Bidirectional
56.572 3336.653 0.1 0.5 0.1 10 0 3323 312 3336 540 3346 18 116.067988372135
56.516 3337.234 0.1 0.5 0.1 10 0.05 3323 292 3336 545 3346 26 116.087252421753
57.586 3336.694 0.1 0.5 0.1 10 0.1 3323 303 3336 549 3346 20 116.070654494052
57.289 3335.578 0.1 0.5 0.1 10 0.15 3323 333 3336 541 3346 24 115.60573804925
56.963 3337.214 0.1 0.5 0.1 10 0.2 3323 306 3336 531 3346 30 115.850418244177
57.384 3336.663 0.1 0.5 0.1 10 0.25 3323 307 3336 551 3346 13 115.991750643273
57.677 3336.544 0.1 0.5 0.1 10 0.3 3323 333 3336 509 3346 23 115.746905051419
57.693 3335.978 0.1 0.5 0.1 10 0.35 3323 313 3336 551 3346 23 115.988572704817
56.809 3336.438 0.1 0.5 0.1 10 0.4 3323 320 3336 536 3346 25 116.061700554965
57.457 3337.41 0.1 0.5 0.1 10 0.45 3323 300 3336 528 3346 35 115.909363528623
57.424 3336.524 0.1 0.5 0.1 10 0.5 3323 313 3336 545 3346 23 115.929617423471
56.758 3336.418 0.1 0.5 0.1 10 0.55 3323 322 3336 524 3346 33 116.105587674227
57 3336.787 0.1 0.5 0.1 10 0.6 3323 303 3336 537 3346 31 115.905082665468
56.906 3336.832 0.1 0.5 0.1 10 0.65 3323 320 3336 533 3346 15 115.794821170152
56.764 3336.718 0.1 0.5 0.1 10 0.7 3323 332 3336 506 3346 31 115.963797966946
57.932 3336.155 0.1 0.5 0.1 10 0.75 3323 334 3336 526 3346 25 115.962907112196
56.978 3336.295 0.1 0.5 0.1 10 0.8 3323 325 3336 534 3346 29 115.687666017565
57.71 3335.852 0.1 0.5 0.1 10 0.85 3323 342 3336 524 3346 25 115.868798594929
57.283 3336.219 0.1 0.5 0.1 10 0.9 3323 327 3336 538 3346 22 115.941590490253
56.928 3336.34 0.1 0.5 0.1 10 0.95 3323 334 3336 522 3346 23 115.857661445888

AntDir = Unidirectional
57.298 3336.115 0.1 0.5 0.1 10 0 3323 329 3336 527 3346 30 116.086222956572
57.561 3336.227 0.1 0.5 0.1 10 0.05 3323 312 3336 539 3346 29 115.956678929281
56.356 3336.779 0.1 0.5 0.1 10 0.1 3323 307 3336 542 3346 24 115.974476907461
57.133 3335.877 0.1 0.5 0.1 10 0.15 3323 310 3336 559 3346 22 115.92979958181
57.289 3336.12 0.1 0.5 0.1 10 0.2 3323 334 3336 529 3346 18 116.036653797606
56.427 3337.525 0.1 0.5 0.1 10 0.25 3323 295 3336 532 3346 32 116.260451611561
