BatchFile test, number of cities :=14
ACS Algorithm - LSType Exponential Times = 5
Format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = Boolean
AntDir = Bidirectional
35.145 3349.601 0.3 1 3.3 10 0 3323 197 3336 633 3371 75 107.65178994314
34.242 3349.115 0.3 1 3.3 10 0.05 3323 201 3336 624 3371 80 107.877529131676
34.953 3347.876 0.3 1 3.3 10 0.1 3323 235 3336 598 3371 82 107.967830047341
34.48 3349.846 0.3 1 3.3 10 0.15 3323 225 3336 588 3371 98 108.077354394984
35.065 3349.316 0.3 1 3.3 10 0.2 3323 219 3336 607 3371 83 108.170751355612
34.768 3349.63 0.3 1 3.3 10 0.25 3323 220 3336 609 3371 75 107.854299129155
34.736 3346.29 0.3 1 3.3 10 0.3 3323 224 3336 619 3371 81 107.804258973019
34.388 3348.625 0.3 1 3.3 10 0.35 3323 238 3336 594 3371 80 107.601022274492
34.214 3348.394 0.3 1 3.3 10 0.4 3323 237 3336 602 3371 72 107.749052552914
34.157 3349.874 0.3 1 3.3 10 0.45 3323 236 3336 588 3371 72 107.750566919351
34.911 3344.677 0.3 1 3.3 10 0.5 3323 250 3336 602 3371 85 107.635363933853
35.562 3347.493 0.3 1 3.3 10 0.55 3323 241 3336 601 3371 69 107.918255699715
35.156 3347.992 0.3 1 3.3 10 0.6 3323 252 3336 584 3371 72 107.681663689223
35.746 3346.442 0.3 1 3.3 10 0.65 3323 266 3336 580 3371 71 107.488757722273
35.784 3347.701 0.3 1 3.3 10 0.7 3323 256 3336 584 3371 68 107.586991438622
35.224 3342.596 0.3 1 3.3 10 0.75 3323 276 3336 597 3371 73 107.317239417739
37.168 3342.107 0.3 1 3.3 10 0.8 3323 306 3336 562 3371 81 107.530635050738
35.991 3342.522 0.3 1 3.3 10 0.85 3323 282 3336 593 3371 68 107.438468776961
36.917 3342.326 0.3 1 3.3 10 0.9 3323 305 3336 578 3371 56 107.712105401174
39.993 3336.245 0.3 1 3.3 10 0.95 3323 403 3336 519 3371 50 107.9701360938

AntDir = Unidirectional
34.968 3348.117 0.3 1 3.3 10 0 3323 234 3336 607 3371 70 108.041431976973
34.068 3349.428 0.3 1 3.3 10 0.05 3323 224 3336 606 3371 65 108.008547324904
34.135 3348.928 0.3 1 3.3 10 0.1 3323 201 3336 636 3371 76 107.887437870287
34.208 3348.728 0.3 1 3.3 10 0.15 3323 215 3336 615 3371 84 107.831043915053
35.214 3348.117 0.3 1 3.3 10 0.2 3323 234 3336 597 3371 82 107.868577447167
34.391 3346.13 0.3 1 3.3 10 0.25 3323 231 3336 620 3371 72 107.942074103318
34.175 3347.429 0.3 1 3.3 10 0.3 3323 216 3336 626 3371 74 108.018011105637
35.779 3350.233 0.3 1 3.3 10 0.35 3323 224 3336 599 3371 70 107.848670947296
34.993 3346.743 0.3 1 3.3 10 0.4 3323 232 3336 628 3371 59 108.031239606537
35.69 3346.12 0.3 1 3.3 10 0.45 3323 232 3336 612 3371 83 107.790057127643
35.057 3347.411 0.3 1 3.3 10 0.5 3323 261 3336 576 3371 75 108.102577463061
36.277 3345.577 0.3 1 3.3 10 0.55 3323 253 3336 591 3371 80 107.975993862467
36.407 3343.147 0.3 1 3.3 10 0.6 3323 294 3336 575 3371 69 107.856173463902
35.781 3342.292 0.3 1 3.3 10 0.65 3323 275 3336 603 3371 64 107.79061691433
36.113 3342.381 0.3 1 3.3 10 0.7 3323 283 3336 589 3371 70 107.916484931301
37.139 3340.493 0.3 1 3.3 10 0.75 3323 309 3336 582 3371 60 107.94182708737
36.433 3340.541 0.3 1 3.3 10 0.8 3323 308 3336 590 3371 51 107.833112867132
37.794 3337.399 0.3 1 3.3 10 0.85 3323 365 3336 557 3371 41 107.624474451557
39.709 3334.34 0.3 1 3.3 10 0.9 3323 449 3336 489 3371 41 107.79703470543
41.015 3330.749 0.3 1 3.3 10 0.95 3323 552 3336 422 3371 14 108.606588341001


AntType = Sqrt
AntDir = Bidirectional
34.618 3348.558 0.3 1 3.3 10 0 3323 211 3336 631 3371 65 107.960930404524
34.594 3349.938 0.3 1 3.3 10 0.05 3323 212 3336 614 3371 82 107.995579436311
34.735 3351.259 0.3 1 3.3 10 0.1 3323 223 3336 583 3371 89 107.882111445961
35.058 3347.001 0.3 1 3.3 10 0.15 3323 223 3336 627 3371 73 108.125862489761
34.538 3349.511 0.3 1 3.3 10 0.2 3323 229 3336 592 3371 81 107.744250843375
34.966 3348.376 0.3 1 3.3 10 0.25 3323 228 3336 603 3371 82 107.748834110364
34.868 3349.569 0.3 1 3.3 10 0.3 3323 186 3336 653 3371 66 107.810273775664
34.078 3349.824 0.3 1 3.3 10 0.35 3323 217 3336 594 3371 89 107.918671384494
34.42 3349.627 0.3 1 3.3 10 0.4 3323 205 3336 624 3371 75 108.207461265508
34.96 3349.23 0.3 1 3.3 10 0.45 3323 220 3336 615 3371 69 107.847334309787
34.162 3349.939 0.3 1 3.3 10 0.5 3323 202 3336 618 3371 82 107.989034125151
34.722 3348.54 0.3 1 3.3 10 0.55 3323 226 3336 617 3371 70 107.939942372635
34.409 3348.944 0.3 1 3.3 10 0.6 3323 228 3336 599 3371 77 107.978918810636
34.582 3346.898 0.3 1 3.3 10 0.65 3323 247 3336 608 3371 69 107.895699426794
35.462 3348.424 0.3 1 3.3 10 0.7 3323 218 3336 618 3371 77 107.964665713622
34.897 3346.676 0.3 1 3.3 10 0.75 3323 274 3336 567 3371 76 107.93315486215
34.949 3348.796 0.3 1 3.3 10 0.8 3323 244 3336 597 3371 70 108.185980245286
35.927 3345.476 0.3 1 3.3 10 0.85 3323 243 3336 616 3371 67 108.169040997421
34.908 3345.645 0.3 1 3.3 10 0.9 3323 253 3336 604 3371 70 108.209500176839
35.961 3344.338 0.3 1 3.3 10 0.95 3323 272 3336 581 3371 82 108.629317103526

AntDir = Unidirectional
34.698 3347.264 0.3 1 3.3 10 0 3323 191 3336 656 3371 78 108.072140751016
34.216 3347.126 0.3 1 3.3 10 0.05 3323 211 3336 624 3371 87 108.032392058619
34.514 3350.736 0.3 1 3.3 10 0.1 3323 206 3336 612 3371 77 108.118042244878
35.296 3348.285 0.3 1 3.3 10 0.15 3323 235 3336 604 3371 67 108.17351832145
34.747 3348.392 0.3 1 3.3 10 0.2 3323 232 3336 602 3371 73 108.323998627349
34.672 3350.785 0.3 1 3.3 10 0.25 3323 235 3336 582 3371 73 107.969530433959
34.029 3349.228 0.3 1 3.3 10 0.3 3323 202 3336 632 3346 1 108.006841428186
34.808 3347.46 0.3 1 3.3 10 0.35 3323 223 3336 619 3371 76 108.116549362578
34.695 3349.259 0.3 1 3.3 10 0.4 3323 212 3336 618 3371 70 108.430298834256
35.391 3346.429 0.3 1 3.3 10 0.45 3323 248 3336 596 3371 74 108.24426450855
34.613 3348.499 0.3 1 3.3 10 0.5 3323 239 3336 587 3371 83 108.312782489
34.851 3346.341 0.3 1 3.3 10 0.55 3323 237 3336 614 3371 70 108.39461340287
35.032 3347.015 0.3 1 3.3 10 0.6 3323 233 3336 620 3371 63 108.396317321295
35.552 3345.233 0.3 1 3.3 10 0.65 3323 272 3336 588 3371 64 108.456225669026
36.204 3344.362 0.3 1 3.3 10 0.7 3323 279 3336 581 3371 70 108.807380842756
36.114 3344.371 0.3 1 3.3 10 0.75 3323 268 3336 597 3371 65 108.721719445624
35.458 3345.786 0.3 1 3.3 10 0.8 3323 287 3336 556 3371 75 109.035591850197
