BatchFile test, number of cities :=52
AMTS Algorithm - LSType Exponential Times = 5
Format:
avgGen avgdist DP AP IP NA AF MA Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = Boolean
AntDir = Bidirectional
94.345 7722.24 0.1 0.5 0.1 25 0 6 7543 4 7547 6 7548 13 813.332185326263
102.425 7725.08 0.1 0.5 0.1 25 0.05 6 7542 2 7543 1 7547 5 811.847357018435
107.57 7708.985 0.1 0.5 0.1 25 0.1 6 7542 4 7543 8 7547 7 809.585792727433
103.715 7713.675 0.1 0.5 0.1 25 0.15 6 7542 1 7543 6 7547 8 802.436497809666
104.91 7716.85 0.1 0.5 0.1 25 0.2 6 7542 1 7543 2 7547 5 804.083402941622
107.52 7704.98 0.1 0.5 0.1 25 0.25 6 7542 4 7543 5 7547 3 803.381035943159
105.99 7710.19 0.1 0.5 0.1 25 0.3 6 7542 5 7543 3 7547 3 797.223451566355
107.545 7710.2 0.1 0.5 0.1 25 0.35 6 7542 1 7543 8 7547 3 795.619168046068
118.79 7694.535 0.1 0.5 0.1 25 0.4 6 7542 3 7543 3 7547 4 793.841731167815
114.615 7689.705 0.1 0.5 0.1 25 0.45 6 7542 4 7543 8 7547 7 782.765023496331
114.155 7699.475 0.1 0.5 0.1 25 0.5 6 7542 2 7543 4 7547 7 782.790169732031
121.485 7695.345 0.1 0.5 0.1 25 0.55 6 7542 8 7543 4 7547 8 770.080010836599
124.755 7692.875 0.1 0.5 0.1 25 0.6 6 7542 4 7543 5 7547 4 761.698454067424
132.985 7683.095 0.1 0.5 0.1 25 0.65 6 7542 1 7543 11 7547 5 755.339187422347
141.54 7686.645 0.1 0.5 0.1 25 0.7 6 7542 2 7543 7 7547 2 747.939472065239
150.83 7684.07 0.1 0.5 0.1 25 0.75 6 7543 7 7547 5 7548 11 740.351138659263
169.57 7677.75 0.1 0.5 0.1 25 0.8 6 7542 2 7543 10 7547 5 727.924000781962
189.015 7679.02 0.1 0.5 0.1 25 0.85 6 7542 3 7543 7 7547 5 716.925881180631
195.66 7734.07 0.1 0.5 0.1 25 0.9 6 7543 2 7548 9 7588 1 708.35022296197
203.075 8079.645 0.1 0.5 0.1 25 0.95 6 7748 1 7790 1 7792 1 713.392392238476

AntDir = Unidirectional
99.26 7711.495 0.1 0.5 0.1 25 0 6 7542 2 7543 5 7547 2 816.460221464253
97.155 7725.06 0.1 0.5 0.1 25 0.05 6 7543 3 7547 2 7548 6 815.692856175607
104.31 7710.45 0.1 0.5 0.1 25 0.1 6 7543 2 7547 5 7548 11 815.417907523712
104.57 7713.165 0.1 0.5 0.1 25 0.15 6 7542 2 7543 3 7547 4 809.448324593489
103.55 7700.49 0.1 0.5 0.1 25 0.2 6 7542 2 7543 5 7547 4 809.998925605439
104.115 7710.6 0.1 0.5 0.1 25 0.25 6 7542 1 7543 2 7547 7 800.517992418485
109.22 7711.87 0.1 0.5 0.1 25 0.3 6 7542 1 7543 1 7547 6 797.638728727254
105.94 7696.795 0.1 0.5 0.1 25 0.35 6 7542 1 7543 7 7547 8 796.306102513241
104.165 7695.63 0.1 0.5 0.1 25 0.4 6 7542 3 7543 3 7547 7 793.956286985876
113.19 7698.815 0.1 0.5 0.1 25 0.45 6 7543 5 7547 7 7548 8 792.051693155627
110 7689.785 0.1 0.5 0.1 25 0.5 6 7542 3 7543 3 7547 8 785.372975848392
114.245 7694.115 0.1 0.5 0.1 25 0.55 6 7542 2 7543 6 7547 6 777.014506046971
122.05 7687.45 0.1 0.5 0.1 25 0.6 6 7542 2 7543 4 7547 6 775.920896281095
127.16 7691.715 0.1 0.5 0.1 25 0.65 6 7542 5 7543 1 7547 6 772.39248398588
137.09 7673.78 0.1 0.5 0.1 25 0.7 6 7542 5 7543 6 7547 6 766.725989883405
137.08 7674.75 0.1 0.5 0.1 25 0.75 6 7542 2 7543 7 7547 8 759.769885405856
150.67 7668.62 0.1 0.5 0.1 25 0.8 6 7542 2 7543 5 7547 10 751.737507851274
162.415 7668.505 0.1 0.5 0.1 25 0.85 6 7542 3 7543 6 7547 9 742.574104530652
184.975 7686.49 0.1 0.5 0.1 25 0.9 6 7542 2 7543 2 7547 4 735.663064179473
235.945 7823.8 0.1 0.5 0.1 25 0.95 6 7548 1 7570 1 7575 1 732.576241424462


AntType = Sqrt
AntDir = Bidirectional
99.69 7712.66 0.1 0.5 0.1 25 0 6 7542 1 7543 7 7547 1 813.593777683125
99.455 7724.45 0.1 0.5 0.1 25 0.05 6 7542 2 7543 2 7547 2 815.670804453811
100.6 7723.82 0.1 0.5 0.1 25 0.1 6 7542 1 7543 1 7547 2 817.028085400666
101.755 7728.31 0.1 0.5 0.1 25 0.15 6 7542 3 7543 3 7547 7 808.537932380245
101.495 7721.205 0.1 0.5 0.1 25 0.2 6 7542 1 7543 3 7547 5 799.988621817149
100.315 7709.845 0.1 0.5 0.1 25 0.25 6 7542 1 7543 2 7547 4 811.108703764089
105.505 7693.85 0.1 0.5 0.1 25 0.3 6 7542 2 7543 3 7547 8 804.931171397329
102.365 7718.24 0.1 0.5 0.1 25 0.35 6 7542 1 7543 3 7547 4 806.580990295105
107.01 7711.69 0.1 0.5 0.1 25 0.4 6 7542 4 7543 2 7547 5 802.089982526109
107.315 7695.415 0.1 0.5 0.1 25 0.45 6 7542 1 7543 3 7547 8 796.685594056423
109.7 7705.51 0.1 0.5 0.1 25 0.5 6 7542 6 7543 5 7547 3 794.850462772108
113.475 7699.61 0.1 0.5 0.1 25 0.55 6 7543 6 7547 3 7548 16 793.69566400138
110.265 7711.91 0.1 0.5 0.1 25 0.6 6 7543 5 7547 2 7548 12 780.829126420597
112.125 7704.995 0.1 0.5 0.1 25 0.65 6 7542 3 7543 3 7547 6 783.187877291518
116.95 7698.875 0.1 0.5 0.1 25 0.7 6 7542 1 7543 13 7547 3 775.707775531623
119.585 7716.34 0.1 0.5 0.1 25 0.75 6 7543 6 7547 4 7548 3 773.968607106096
127.435 7689.27 0.1 0.5 0.1 25 0.8 6 7542 2 7543 8 7547 1 773.127080662942
123.235 7715.885 0.1 0.5 0.1 25 0.85 6 7542 2 7543 3 7547 3 759.80955226159
134.1 7695.595 0.1 0.5 0.1 25 0.9 6 7542 1 7543 8 7547 4 756.225989360596
142.86 7695.73 0.1 0.5 0.1 25 0.95 6 7542 1 7543 12 7548 8 743.474567854234

AntDir = Unidirectional
96.98 7713.1 0.1 0.5 0.1 25 0 6 7543 3 7547 4 7548 15 810.091980305764
97.265 7724.715 0.1 0.5 0.1 25 0.05 6 7542 2 7543 3 7547 4 807.520299616629
100.225 7709.315 0.1 0.5 0.1 25 0.1 6 7542 2 7543 3 7547 1 810.535939991807
101.725 7709.825 0.1 0.5 0.1 25 0.15 6 7542 3 7543 4 7547 3 808.246341027353
103.865 7713.45 0.1 0.5 0.1 25 0.2 6 7543 3 7547 7 7548 14 808.132280415059
103.43 7700.975 0.1 0.5 0.1 25 0.25 6 7542 1 7543 4 7547 8 808.820694030119
102.68 7708.705 0.1 0.5 0.1 25 0.3 6 7542 3 7543 5 7547 2 801.30270226725
107.19 7704.75 0.1 0.5 0.1 25 0.35 6 7542 5 7543 2 7547 4 805.714681208196
105.22 7717.15 0.1 0.5 0.1 25 0.4 6 7542 1 7543 4 7547 1 794.41793185798
107.47 7700.225 0.1 0.5 0.1 25 0.45 6 7542 3 7543 4 7547 3 793.403094833615
109.965 7699.28 0.1 0.5 0.1 25 0.5 6 7542 1 7543 7 7547 7 795.456145912954
