BatchFile test, number of cities :=14
AS Algorithm - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = None
AntDir = Bidirectional
48.96 3365.14 0.1 0.5 0.1 10 0 3323 1 3336 13 3346 5 116.007408041066
52.74 3361.7 0.1 0.5 0.1 10 0.05 3323 4 3336 16 3346 2 116.393304580454
52.98 3353.54 0.1 0.5 0.1 10 0.1 3323 7 3336 18 3346 1 116.802619540037
57.06 3360.78 0.1 0.5 0.1 10 0.15 3323 6 3336 12 3346 2 116.39742450404
54.16 3364.58 0.1 0.5 0.1 10 0.2 3323 4 3336 11 3346 2 117.364969904856
50.44 3358.04 0.1 0.5 0.1 10 0.25 3323 4 3336 12 3346 5 116.166632006658
53.52 3359.44 0.1 0.5 0.1 10 0.3 3323 4 3336 12 3346 5 116.792536272357
58.86 3356.56 0.1 0.5 0.1 10 0.35 3323 6 3336 20 3346 1 116.297153094518
54.1 3359.48 0.1 0.5 0.1 10 0.4 3323 5 3336 13 3346 5 116.137448219436
58.5 3355.82 0.1 0.5 0.1 10 0.45 3323 12 3336 6 3346 3 115.215705020016
53.4 3364.88 0.1 0.5 0.1 10 0.5 3323 4 3336 11 3359 6 116.701795759055
54.72 3357.12 0.1 0.5 0.1 10 0.55 3323 7 3336 15 3346 2 115.098446233163
51.44 3354.96 0.1 0.5 0.1 10 0.6 3323 7 3336 15 3346 3 115.710078249874
52.3 3363.38 0.1 0.5 0.1 10 0.65 3323 4 3336 11 3346 4 116.985990318149
56.62 3358.84 0.1 0.5 0.1 10 0.7 3323 2 3336 17 3346 5 115.690349009051
54.98 3359.2 0.1 0.5 0.1 10 0.75 3323 7 3336 13 3359 8 116.685176203123
51.7 3361.78 0.1 0.5 0.1 10 0.8 3323 3 3336 13 3346 5 115.923271918303
54.12 3361.26 0.1 0.5 0.1 10 0.85 3323 3 3336 12 3346 3 118.298867978989
51.7 3360.86 0.1 0.5 0.1 10 0.9 3323 8 3336 7 3346 6 114.742596472142
48.84 3364.56 0.1 0.5 0.1 10 0.95 3323 3 3336 11 3346 5 117.2702666164


AntType = Boolean
AntDir = Bidirectional
56.58 3354.56 0.1 0.5 0.1 10 0 3323 8 3336 17 3346 2 117.724366868862
54.4 3357.92 0.1 0.5 0.1 10 0.05 3323 3 3336 19 3346 2 116.905438221622
51.76 3363.28 0.1 0.5 0.1 10 0.1 3323 6 3336 8 3346 3 116.161643215154
54.76 3362.24 0.1 0.5 0.1 10 0.15 3323 4 3336 11 3346 4 115.348722499931
54.1 3361.96 0.1 0.5 0.1 10 0.2 3323 7 3336 14 3346 1 116.947433342322
51.3 3360.6 0.1 0.5 0.1 10 0.25 3323 6 3336 13 3346 3 114.855111479489
