BatchFile test, number of cities :=198
AMTS Algorithm - LSType Exponential Times = 5
Format:
avgGen avgdist DP AP IP NA AF MA Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = Boolean
AntDir = Bidirectional
140.5 17610.17 0.1 0.5 0.1 25 0 6 16780 1 16941 1 17011 1 923.592712162502
134.96 17625.09 0.1 0.5 0.1 25 0.05 6 16795 1 16889 1 16982 1 930.426039201237
132.23 17618.23 0.1 0.5 0.1 25 0.1 6 16778 1 16825 1 16871 1 924.667958251034
142.4 17594.88 0.1 0.5 0.1 25 0.15 6 16704 1 16908 1 16987 1 918.356900605308
141.8 17618.11 0.1 0.5 0.1 25 0.2 6 16741 1 16990 1 17027 1 918.709714119163
132.32 17670.19 0.1 0.5 0.1 25 0.25 6 16648 1 17098 1 17103 1 913.684439660742
144.67 17663.97 0.1 0.5 0.1 25 0.3 6 16970 1 17121 1 17164 1 907.835072160073
144.18 17613.36 0.1 0.5 0.1 25 0.35 6 16989 1 17162 1 17178 1 899.213115576681
134.63 17681 0.1 0.5 0.1 25 0.4 6 16871 1 17012 1 17075 1 904.718394458978
144.74 17602.38 0.1 0.5 0.1 25 0.45 6 16749 1 16920 1 16998 1 898.639641995259
153.29 17624.46 0.1 0.5 0.1 25 0.5 6 16944 1 17066 1 17077 2 893.133268438388
141.21 17647.73 0.1 0.5 0.1 25 0.55 6 16893 1 17019 1 17045 1 892.362246975989
159.31 17563.6 0.1 0.5 0.1 25 0.6 6 16481 1 16951 1 16965 1 882.318475197249
144.69 17707.59 0.1 0.5 0.1 25 0.65 6 16274 1 16787 1 16960 1 882.585856677464
145.61 17720.17 0.1 0.5 0.1 25 0.7 6 16904 1 16925 1 16973 1 877.750482131277
151.29 17738.97 0.1 0.5 0.1 25 0.75 6 16943 1 17065 1 17069 1 872.584351408657
148.79 17867.48 0.1 0.5 0.1 25 0.8 6 17294 1 17333 1 17352 1 868.145317946709
151.6 17932.78 0.1 0.5 0.1 25 0.85 6 16920 1 17007 1 17214 1 858.93052640654
149.21 18245.05 0.1 0.5 0.1 25 0.9 6 17658 1 17675 1 17685 1 855.317282129502
145.5 19148.67 0.1 0.5 0.1 25 0.95 6 18449 1 18594 1 18595 1 850.691767840949

AntDir = Unidirectional
133.95 17614.11 0.1 0.5 0.1 25 0 6 16858 1 16929 1 16979 1 931.149320492443
138.37 17624.73 0.1 0.5 0.1 25 0.05 6 16965 1 16977 1 17013 1 929.221258707347
138.91 17620.31 0.1 0.5 0.1 25 0.1 6 16592 1 16770 1 16806 1 922.85882990866
139.58 17631.76 0.1 0.5 0.1 25 0.15 6 17069 1 17086 1 17121 1 920.913303173356
141 17635.29 0.1 0.5 0.1 25 0.2 6 16964 1 17015 1 17162 1 919.680747131525
140.07 17616.98 0.1 0.5 0.1 25 0.25 6 16755 1 16944 1 16967 1 916.489233023438
134.24 17617.84 0.1 0.5 0.1 25 0.3 6 16862 1 16941 1 17017 1 915.939734501199
144.68 17596.06 0.1 0.5 0.1 25 0.35 6 16634 1 16859 1 16944 1 906.813668909863
139.79 17602.9 0.1 0.5 0.1 25 0.4 6 16809 1 16897 1 16940 1 911.869092676046
145.09 17585.5 0.1 0.5 0.1 25 0.45 6 17030 1 17107 1 17119 1 911.018188925063
152.25 17613.87 0.1 0.5 0.1 25 0.5 6 16845 1 16913 1 16923 1 899.897563455678
148.93 17633.73 0.1 0.5 0.1 25 0.55 6 16643 1 16695 1 16825 1 898.654098389635
142.31 17625.52 0.1 0.5 0.1 25 0.6 6 16832 1 17031 1 17093 1 894.17119663442
154.66 17622.32 0.1 0.5 0.1 25 0.65 6 16769 1 16846 1 16913 1 887.806805086925
153.31 17605.13 0.1 0.5 0.1 25 0.7 6 16636 1 16997 1 17070 1 882.200795899976
156.51 17648.88 0.1 0.5 0.1 25 0.75 6 16764 1 17155 1 17159 1 878.929147602202
156.07 17694.29 0.1 0.5 0.1 25 0.8 6 16736 1 16748 1 16966 1 871.31411144237
157.6 17758.01 0.1 0.5 0.1 25 0.85 6 16706 1 16936 1 17213 1 865.303959522333
160.81 17955.13 0.1 0.5 0.1 25 0.9 6 17018 1 17296 1 17305 1 859.809623576064
161.63 18557.81 0.1 0.5 0.1 25 0.95 6 17322 1 17643 1 17812 1 851.87438587889


AntType = Sqrt
AntDir = Bidirectional
134.18 17636.62 0.1 0.5 0.1 25 0 6 16850 1 16932 1 16976 1 928.549288485959
142.35 17625.1 0.1 0.5 0.1 25 0.05 6 16924 1 17044 1 17083 1 932.679664471182
146.53 17647.4 0.1 0.5 0.1 25 0.1 6 17003 1 17023 1 17085 1 922.105946161484
145.8 17633.65 0.1 0.5 0.1 25 0.15 6 16881 1 16965 1 17033 1 920.848172107218
138.84 17641.08 0.1 0.5 0.1 25 0.2 6 16621 1 16622 1 16873 1 919.265042094773
140.78 17664.95 0.1 0.5 0.1 25 0.25 6 16645 1 16896 1 17102 1 916.787868324946
141.44 17641.3 0.1 0.5 0.1 25 0.3 6 16800 1 16812 1 16941 1 916.651175831887
146.26 17627.73 0.1 0.5 0.1 25 0.35 6 16601 1 16746 1 16989 1 909.370980935132
136.18 17602.2 0.1 0.5 0.1 25 0.4 6 16346 1 16848 1 16961 1 910.69923844283
137.04 17661.62 0.1 0.5 0.1 25 0.45 6 16923 1 16943 1 17149 1 908.934681658575
143.5 17616.48 0.1 0.5 0.1 25 0.5 6 16838 1 16855 1 17003 1 905.47734475308
143.34 17631.08 0.1 0.5 0.1 25 0.55 6 16981 1 17034 1 17056 1 901.990370534845
134.94 17645.03 0.1 0.5 0.1 25 0.6 6 16806 1 16885 1 16915 1 899.265938739277
144.87 17650.64 0.1 0.5 0.1 25 0.65 6 16822 1 16991 1 17072 1 899.016551761625
136.92 17684.95 0.1 0.5 0.1 25 0.7 6 16923 1 17028 1 17053 1 896.103778658017
142.99 17696.74 0.1 0.5 0.1 25 0.75 6 16700 1 17029 1 17047 1 890.828410552551
138.45 17742.22 0.1 0.5 0.1 25 0.8 6 16976 1 17004 1 17107 1 889.534928818434
135.53 17736.16 0.1 0.5 0.1 25 0.85 6 16997 1 17026 1 17060 1 883.028053897099
145.37 17791.82 0.1 0.5 0.1 25 0.9 6 17225 2 17246 1 17258 1 877.764560520215
141.56 17811.55 0.1 0.5 0.1 25 0.95 6 17066 1 17088 1 17133 1 875.400382976519

AntDir = Unidirectional
134.02 17607.4 0.1 0.5 0.1 25 0 6 16984 1 17019 1 17132 1 930.414214277687
136.22 17606.4 0.1 0.5 0.1 25 0.05 6 16935 1 17069 1 17123 1 932.685267410388
130.42 17638.13 0.1 0.5 0.1 25 0.1 6 16762 1 16829 1 16955 1 928.905840334982
132.23 17661.69 0.1 0.5 0.1 25 0.15 6 16730 1 16927 1 17123 1 924.973830794578
135.45 17641.56 0.1 0.5 0.1 25 0.2 6 16929 1 17070 1 17138 1 925.626811198778
134.74 17639.46 0.1 0.5 0.1 25 0.25 6 16798 1 17017 1 17122 2 922.826972155042
142.62 17628.71 0.1 0.5 0.1 25 0.3 6 16763 1 16910 1 16950 1 912.5602986581
138.44 17674.59 0.1 0.5 0.1 25 0.35 6 16719 1 16846 1 16915 1 917.292142804635
135.83 17628.27 0.1 0.5 0.1 25 0.4 6 16657 1 16883 1 16933 1 913.169229440487
132.48 17650.73 0.1 0.5 0.1 25 0.45 6 16959 1 16966 1 17019 1 913.072414236012
142.46 17647.29 0.1 0.5 0.1 25 0.5 6 16835 1 17010 1 17017 1 906.066019932607
