BatchFile test, number of cities :=14
AS Algorithm - format:
avgGen avgdist DP AP IP NA AF Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = None
AntDir = Bidirectional
56.72 3358.7 0.1 0.5 0.1 10 0 3323 17 3336 17 3346 7 115.8410800169
53.32 3360.62 0.1 0.5 0.1 10 0.05 3323 12 3336 26 3346 2 115.635185105278
52.16 3358.95 0.1 0.5 0.1 10 0.1 3323 10 3336 27 3346 8 116.442077852571
55.66 3359.02 0.1 0.5 0.1 10 0.15 3323 9 3336 30 3346 5 116.184391773043
52.68 3361.16 0.1 0.5 0.1 10 0.2 3323 8 3336 24 3346 7 117.234205392651
50.51 3363.14 0.1 0.5 0.1 10 0.25 3323 10 3336 18 3346 11 116.031783423958
54.18 3354.43 0.1 0.5 0.1 10 0.3 3323 16 3336 30 3346 4 116.829274501587
52.62 3360.46 0.1 0.5 0.1 10 0.35 3323 12 3336 22 3346 8 115.541706143595
53.63 3364.91 0.1 0.5 0.1 10 0.4 3323 11 3336 21 3346 6 116.745244408576
53.29 3362.35 0.1 0.5 0.1 10 0.45 3323 13 3336 22 3346 3 116.449297720519
52.79 3360.65 0.1 0.5 0.1 10 0.5 3323 9 3336 24 3346 8 116.578394318021
52.85 3365.79 0.1 0.5 0.1 10 0.55 3323 5 3336 22 3346 3 115.724867840875
54.98 3359.14 0.1 0.5 0.1 10 0.6 3323 16 3336 24 3346 5 116.323433848501
57.45 3361.14 0.1 0.5 0.1 10 0.65 3323 11 3336 22 3346 7 117.138775222701
57.31 3357.4 0.1 0.5 0.1 10 0.7 3323 11 3336 30 3346 4 116.881867536598
53.65 3358.34 0.1 0.5 0.1 10 0.75 3323 15 3336 21 3346 5 116.215644392923
52.87 3359.71 0.1 0.5 0.1 10 0.8 3323 12 3336 20 3346 7 116.530185891465
55.72 3358.32 0.1 0.5 0.1 10 0.85 3323 12 3336 30 3346 3 116.888828867858
54.2 3360.01 0.1 0.5 0.1 10 0.9 3323 14 3336 25 3346 5 115.902577073952
53.51 3361.98 0.1 0.5 0.1 10 0.95 3323 7 3336 25 3346 5 115.757927173456

AntDir = Unidirectional
54.53 3359.73 0.1 0.5 0.1 10 0 3323 11 3336 30 3346 9 116.404300608265
52.44 3363.52 0.1 0.5 0.1 10 0.05 3323 5 3336 27 3346 7 116.337854800701
52.43 3362.52 0.1 0.5 0.1 10 0.1 3323 10 3336 23 3346 8 116.874593799418
51.29 3363.75 0.1 0.5 0.1 10 0.15 3323 4 3336 27 3346 7 116.628414114544
54.69 3354.71 0.1 0.5 0.1 10 0.2 3323 13 3336 29 3346 9 116.114393807929
53.04 3364.47 0.1 0.5 0.1 10 0.25 3323 7 3336 23 3346 4 115.835150886405
